"outcomes" -- "depression"
"bioorganic chemistry" -- "chemical biology"
"criminal justice" -- "criminology"
"biofuels" -- "biorefinery"
"mathematical modeling" -- "infectious disease epidemiology"
"performance analysis" -- "high performance computing"
"urban planning" -- "urban design"
"urban planning" -- "housing"
"blended learning" -- "educational technology"
"intergroup relations" -- "social psychology"
"big data analytics" -- "machine learning"
"neurology" -- "stroke"
"american politics" -- "representation"
"environmental history" -- "history of science"
"functional analysis" -- "mathematical analysis"
"policing" -- "criminology"
"embodiment" -- "emotion"
"hci" -- "ictd"
"management" -- "organizational behavior"
"management" -- "strategy"
"data structures" -- "graph algorithms"
"electric drives" -- "power electronics"
"gpgpu" -- "high performance computing"
"audio signal processing" -- "machine learning"
"theology" -- "philosophy"
"religion" -- "spirituality"
"economic sociology" -- "organizations"
"medicinal plants" -- "natural products"
"speech" -- "machine learning"
"speech" -- "language processing"
"human resource management" -- "organizational behavior"
"cell migration" -- "cell adhesion"
"attention" -- "working memory"
"cosmology" -- "particle physics"
"cosmology" -- "gravity"
"public administration" -- "local government"
"public administration" -- "public policy"
"heat transfer" -- "thermoelectrics"
"data management" -- "databases"
"environmental policy" -- "energy policy"
"positive psychology" -- "social psychology"
"renewable energy" -- "wind energy"
"renewable energy" -- "energy efficiency"
"renewable energy" -- "power electronics"
"genome engineering" -- "synthetic biology"
"qualitative research" -- "gender"
"drives" -- "power electronics"
"biomedical sciences" -- "molecular biology"
"strategy" -- "international business"
"collective intelligence" -- "machine learning"
"biologia molecular" -- "bioquímica"
"energy policy" -- "energy economics"
"urban design" -- "architecture"
"nlp" -- "machine learning"
"5g" -- "wireless communications"
"endodontics" -- "dentistry"
"stroke" -- "neurorehabilitation"
"brain-machine interfaces" -- "machine learning"
"3d modeling" -- "photogrammetry"
"deep learning" -- "machine learning"
"dementia" -- "aging"
"computer simulation" -- "soft matter"
"patient safety" -- "quality improvement"
"feminist theory" -- "gender"
"faculty development" -- "educational technology"
"gan" -- "semiconductors"
"multiphase flow" -- "computational fluid dynamics"
"neuropsychology" -- "brain injury"
"ultracold atoms" -- "quantum gases"
"organizational economics" -- "industrial organization"
"quantum gravity" -- "quantum field theory"
"high energy physics" -- "particle physics"
"adolescence" -- "prevention"
"educational technology" -- "e-learning"
"fabrication" -- "characterization"
"transportation" -- "mobile"
"crystal growth" -- "semiconductors"
"condensed matter physics" -- "theoretical physics"
"condensed matter physics" -- "quantum transport"
"wireless power transfer" -- "power electronics"
"brain computer interface" -- "machine learning"
"mindfulness" -- "emotion regulation"
"identity" -- "gender"
"identity" -- "narrative"
"landscape architecture" -- "architecture"
"population" -- "community ecology"
"palaeoecology" -- "palaeoclimate"
"glaucoma" -- "ophthalmology"
"wireless communications" -- "ofdm"
"vaccines" -- "immunology"
"statistical analysis" -- "machine learning"
"computational finance" -- "machine learning"
"its applications" -- "machine learning"
"immunology" -- "dermatology"
"social epidemiology" -- "health disparities"
"bose-einstein condensation" -- "quantum gases"
"cooperation" -- "evolution"
"criminal law" -- "law"
"quantum field theory" -- "string theory"
"predictive modeling" -- "machine learning"
"machine learning" -- "bayesian methods"
"machine learning" -- "medical image analysis"
"machine learning" -- "multivariate statistics"
"machine learning" -- "bayesian networks"
"machine learning" -- "bayesian inference"
"machine learning" -- "big data analysis"
"machine learning" -- "biomedical signal processing"
"diet" -- "nutrition"
"design theory" -- "methodology"
"biocatalysis" -- "protein engineering"
"pediatrics" -- "neonatology"
"synthetic biology" -- "protein engineering"
"social psychology" -- "prejudice"
"social psychology" -- "quantitative methods"
"evolution" -- "theoretical biology"
"characterization" -- "polymer synthesis"
"cellular" -- "molecular biology"
"biomems" -- "microfluidics"
"meta-analysis" -- "evidence-based medicine"
"architecture" -- "art"
"computed tomography" -- "medical imaging"
"differential geometry" -- "geometric analysis"
"stereotyping" -- "prejudice"
"ophthalmology" -- "optometry"
"social evolution" -- "evolutionary biology"
"population genomics" -- "evolutionary biology"
"environmental change" -- "geomorphology"
"emotion" -- "emotion regulation"
"magnetic resonance imaging" -- "medical imaging"
"image reconstruction" -- "medical imaging"
"careers" -- "gender"
"rnai" -- "molecular biology"
"legal history" -- "law"
"microfluidics" -- "mems"
"disability" -- "aging"
"semiconductors" -- "nanostructures"
"international trade" -- "industrial organization"
"expertise" -- "decision making"
"soft matter" -- "liquid crystals"
