"perceptual decision making" -- "attention"
"intercultural competence" -- "teacher education"
"embedded systems" -- "cps"
"embedded systems" -- "real-time"
"embedded systems" -- "low power systems"
"embedded systems" -- "ubiquitous systems"
"embedded systems" -- "virtual platforms"
"embedded systems" -- "fpga"
"embedded systems" -- "circuit design"
"embedded systems" -- "underwater sensor networks"
"embedded systems" -- "many-core architectures"
"embedded systems" -- "low power design"
"medicaid" -- "neonatal abstinence syndrome"
"medicaid" -- "access to care"
"textiles" -- "apparel"
"textiles" -- "nonwovens"
"textiles" -- "fibres"
"psoriasis" -- "psoriatic arthritis"
"investigación" -- "educación"
"public sector ethics" -- "ethics"
"intravital microscopy" -- "biomedical optics"
"military sociology" -- "social stratification"
"ciência dos materiais" -- "cristalografia"
"post-soviet states" -- "foreign policy"
"electrodeposition" -- "semiconductor cleaning"
"dielectric properties" -- "radioactivity"
"school finance" -- "economics of education"
"media psychology" -- "enjoyment"
"media psychology" -- "self-affirmation"
"future thinking" -- "memory"
"coastal dynamics" -- "ocean modeling"
"low frequency noise" -- "atomic layer deposition"
"geography education" -- "environmental education"
"membrane technology" -- "advanced wastewater treatment"
"paleoclimate" -- "speleothems"
"paleoclimate" -- "global carbon cycle"
"paleoclimate" -- "paleohydrology"
"genome stability" -- "dna damage signaling"
"nineteenth-century history" -- "work"
"learning sciences" -- "educational technology"
"learning sciences" -- "design-based research"
"learning sciences" -- "educational design"
"rhinology" -- "facial plastic surgery"
"rhinology" -- "sinus surgery"
"rhinology" -- "endoscopic sinus surgery"
"japanese" -- "linguistics"
"intelligence économique" -- "business intelligence"
"machining processes" -- "time delay"
"turtles" -- "jellyfish"
"simulation numérique" -- "semi-conducteurs"
"citogenética" -- "genética molecular"
"mri" -- "brain metabolism"
"mri" -- "hybrid imaging"
"mri" -- "cest"
"mri" -- "musculoskeletal radiology"
"mri" -- "ph"
"mri" -- "diffusion imaging"
"mri" -- "asl"
"mri" -- "fast imaging"
"mri" -- "focused ultrasound"
"statistique" -- "pédagogie universitaire"
"native title" -- "indigenous peoples"
"personhood" -- "consciousness"
"crop production" -- "agronomy"
"brand placement" -- "advertising"
"danza" -- "art"
"healthcare finance" -- "health information technology"
"apps" -- "emerging technologies"
"competition" -- "proactive behavior"
"competition" -- "market entry"
"competition" -- "cell-cell interactions"
"dependable computing" -- "distributed systems"
"gi cancer" -- "cancer epidemiology"
"density functional theory calculations" -- "raman spectroscopy"
"field-programmable gate arrays" -- "fpga"
"virtual worlds" -- "serious games"
"microdevices" -- "microfluidics"
"american politics" -- "congress"
"american politics" -- "electoral behavior"
"american politics" -- "american political development"
"javascript" -- "webgl"
"javascript" -- "web applications"
"logic synthesis" -- "electronic design automation"
"logic synthesis" -- "reversible logic"
"complex geometry" -- "algebraic geometry"
"system modeling" -- "simulation"
"disease ecology" -- "invertebrate pathology"
"disease ecology" -- "wildlife medicine"
"disease ecology" -- "ecoimmunology"
"disease ecology" -- "bovine tuberculosis"
"disease ecology" -- "conservation physiology"
"disease ecology" -- "wildlife epidemiology"
"disease ecology" -- "amphibian conservation"
"disease ecology" -- "tick-borne diseases"
"disease ecology" -- "parasite-host interactions"
"disease ecology" -- "chytridiomycosis"
"disease ecology" -- "anthropogenic disturbance"
"big data" -- "perioperative"
"big data" -- "cyber-physical"
"big data" -- "fintech"
"big data" -- "hadoop"
"big data" -- "data exploration"
"big data" -- "mobile internet"
"big data" -- "correspondence analysis"
"big data" -- "nosql"
"big data" -- "large-scale data management"
"big data" -- "distributed database systems"
"thin film deposition" -- "surface science"
"electrochemical catalysis" -- "supercapacitors"
"neuromuscular" -- "neurology"
"transportation engineering" -- "traffic safety"
"molecular epidemiology" -- "viral zoonoses"
"public" -- "labor"
"artificial lift" -- "formation damage"
"artificial lift" -- "petroleum production engineering"
"kisspeptin" -- "islet transplantation"
"structured illumination microscopy" -- "opti"
"cement" -- "concrete research"
"aristotle" -- "virtue ethics"
"aristotle" -- "byzantium"
"aristotle" -- "ancient philosophy"
"processamento digital de sinais" -- "telecomunicações"
"neuroinflammation" -- "brain physiology"
"neuroinflammation" -- "ihc"
"neuroinflammation" -- "microglia"
"neuroinflammation" -- "tryptophan metabolism"
"neuroinflammation" -- "kynurenine pathway"
"hepatitis c" -- "people who inject drugs"
"estudios culturales" -- "literatura latinoamericana"
"glycemic control" -- "nutrition"
"general pathology" -- "molecular biology"
"pacemaker" -- "imaging"
"quantum interference" -- "molecular electronics"
"forest policy" -- "indigenous communities"
"reproductive health" -- "woman health"
"reproductive health" -- "qualitative research methodology"
"reproductive health" -- "midlife"
"reproductive health" -- "alcohol policy"
"reproductive health" -- "participatory"
"techno-economics" -- "access networks"
"educación a distancia" -- "educación"
"palaeozoic" -- "palaeoenvironments"
"heat pipes" -- "heat transfer"
"frequency metrology" -- "nonlinear optics"
"strategic decision making" -- "entrepreneurship"
"radiation detection" -- "measurement"
"radiation detection" -- "nuclear security"
"migração" -- "demografia"
"applied economic theory" -- "labor"
"dialectical behavior therapy" -- "interpersonal"
"traffic" -- "atmospheric environment"
"computational thinking" -- "computer science education"
"economia regionale" -- "economia agraria"
"seismic engineering" -- "steel-concrete composite"
"seismic engineering" -- "structural engineering"
"forest fires" -- "geography"
"political advertising" -- "elections"
"land administration" -- "land management"
"land administration" -- "3d cadastre"
"poultry husbandry" -- "immunology"
"bioestatística" -- "informática médica"
"hmgb1" -- "retina"
"exergy" -- "energy"
"social justice leadership" -- "urban education"
"grounded theory methodology" -- "teacher leadership"
"investigative interviewing" -- "memory"
"stakeholder theory" -- "business ethics"
"littérature" -- "théorie littéraire"
"littérature" -- "lecture"
"littérature" -- "art"
"swat" -- "hydrological modeling"
"algorithms theory" -- "programming languages"
"forensic anthropology" -- "biological anthropology"
"forensic anthropology" -- "physical anthropology"
"water" -- "air"
"water" -- "hydrophobicity"
"water" -- "sanitation in developing countries"
"water" -- "irrigation management"
"water" -- "solid waste"
"water" -- "soil"
"international agriculture" -- "curriculum development"
"myology" -- "pediatric neurology"
"nonlinear optical spectroscopy" -- "electronics"
"teacher labor markets" -- "education policy"
"catalan philology" -- "filologia catalana"
"teacher-student relationships" -- "education"
"história ambiental" -- "environmental history"
"talent assessment" -- "selection"
"innovation management" -- "entrepreneurship"
"innovation management" -- "idea management"
"innovation management" -- "global innovation"
"innovation management" -- "scientific management"
"developmental programming" -- "nutrition"
"bolivia" -- "archaeology"
"phytochemistry" -- "enzyme inhibition"
"phytochemistry" -- "pharmacognosy"
"phytochemistry" -- "marine natural products"
"hydrogen generation" -- "renewable energy materials"
"racial discrimination" -- "racial socialization"
"nanocomposites" -- "thermosets"
"nanocomposites" -- "cellulose nanofibrils"
"nanocomposites" -- "polymères"
"nanocomposites" -- "nanobiomechanics"
"nanocomposites" -- "hybrid materials"
"brain tumors" -- "glioma"
"brain tumors" -- "neurosurgery"
"early intervention" -- "early childhood special education"
"integrated care" -- "patient safety"
"near east" -- "archaeology"
"personalized medicine" -- "genomic medicine"
"free will" -- "counterfactuals"
"free will" -- "public transport planning"
"recycling" -- "waste management"
"recycling" -- "metal recovery"
"nodulation" -- "polyploidy"
"brazil" -- "post-conflict studies"
"brazil" -- "black feminist theory"
"brazil" -- "suburbs"
"brazil" -- "angola"
"brazil" -- "war on drugs"
"cellular biomechanics" -- "biophysics"
"vaccine design" -- "immunology"
"self-stabilization" -- "distributed algorithms"
"computational molecular biophysics" -- "protein folding"
"political attitudes" -- "political behavior"
"pediatric dentistry" -- "dentistry"
"komunikacja międzykulturowa" -- "translation"
"human-animal relations" -- "ethics"
"space-time codes" -- "wireless communications"
"nanoscale electronics" -- "photonics"
"developmental neurobiology" -- "neuromuscular junction"
"developmental neurobiology" -- "developmental biology"
"developmental neurobiology" -- "synapse formation"
"linguistics" -- "sociolinguistics"
"linguistics" -- "hebrew language"
"linguistics" -- "spanish"
"linguistics" -- "semiotics"
"linguistics" -- "american sign language"
"linguistics" -- "psycholinguistics"
"linguistics" -- "translation"
"linguistics" -- "balkan linguistics"
"linguistics" -- "slavic languages"
"linguistics" -- "arabic"
"linguistics" -- "sign language"
"linguistics" -- "language typology"
"linguistics" -- "germanic languages"
"linguistics" -- "phonetics"
"linguistics" -- "chinese"
"linguistics" -- "experimental syntax"
"linguistics" -- "language documentation"
"linguistics" -- "native american languages"
"nonlinear effects" -- "optics"
"heat exchangers" -- "heat transfer"
"intergenerational relations" -- "family"
"capital markets" -- "financial accounting"
"human genomics" -- "population genetics"
"freedom of information" -- "privacy"
"cell-free biology" -- "synthetic biology"
"vascular neurosurgery" -- "neurosurgery"
"ca2+" -- "endothelial cells"
"disease" -- "retinal development"
"disease" -- "cardiovascular development"
"disease" -- "developmental origins of health"
"disease" -- "nutritional immunology"
"disease" -- "aquatic animal health"
"gazetecilik" -- "sosyal medya"
"macroeconomics" -- "monetary theory"
"macroeconomics" -- "fiscal policy"
"macroeconomics" -- "economic growth"
"macroeconomics" -- "labor economics"
"macroeconomics" -- "business cycles"
"fisheries biology" -- "marine biology"
"latin american cinema" -- "star studies"
"bim" -- "realidad aumentada"
"fisiologia vegetal" -- "plant physiology"
"dna polymerase" -- "tumor"
"larval dispersal" -- "connectivity"
"medical laboratory science" -- "clinical chemistry"
"environmental geochemistry" -- "hydrogeochemistry"
"mathématiques appliquées" -- "intelligence artificielle"
"pasture" -- "dairy science"
"antiviral drug discovery" -- "molecular modeling"
"health data" -- "privacy"
"green marketing" -- "consumer behavior"
"osteoporosis" -- "bone mineral density"
"vision" -- "myopia"
"vision" -- "natural scenes"
"vision" -- "visual fields"
"vision" -- "motion"
"insula" -- "interoception"
"choice overload" -- "positive psychology"
"sytematics" -- "more"
"antitrust law" -- "patent law"
"chromatin organization" -- "computational biophysics"
"pedagogía hospitalaria" -- "educación inclusiva"
"separation" -- "membranes"
"separation" -- "gas storage"
"separation" -- "purification"
"systematics" -- "lepidoptera"
"systematics" -- "comparative morphology"
"systematics" -- "decapoda"
"systematics" -- "phylogenetic biology"
"power efficiency" -- "iot"
"location-based services" -- "power saving"
"location-based services" -- "privacy"
"cardiac fibrosis" -- "drug interactions"
"statistical machine translation" -- "machine translation evaluation"
"representation learning" -- "deep learning"
"traumatology" -- "orthopaedics"
"nonprofits" -- "social enterprise"
"cloud systems" -- "iot"
"refractive error" -- "myopia"
"agrarian history" -- "economic history"
"healthcare quality improvement" -- "evidence synthesis"
"forgetting" -- "memory"
"product data management" -- "product lifecycle management"
"enaction" -- "protocells"
"neurologie" -- "dementie"
"li-ion" -- "energy storage"
"opinion analysis" -- "computer aided education"
"gas condensate reservoir" -- "reactive flow in porous media"
"clinical decision support" -- "patient complexity"
"economic sanctions" -- "international relations"
"computational electromagnetics" -- "electromagnetic field theory"
"computational electromagnetics" -- "wireless channel characterization"
"iga nephropathy" -- "peritoneal dialysis"
"toxic metals" -- "minerals"
"nonlinear photonics" -- "quantum photonics"
"lexical access" -- "psycholinguistics"
"gender crime" -- "criminology"
"public health nutrition" -- "efficacy"
"public health nutrition" -- "nutrition"
"infant cognitive development" -- "eye tracking"
"prions" -- "neurodegenerative diseases"
"fault tolerance" -- "vlsi testing"
"fault tolerance" -- "distributed systems"
"public policy analysis" -- "sociocybernetics"
"public policy analysis" -- "political economy"
"topological insulators" -- "high temperature superconductors"
"memory" -- "eyewitness testimony"
"memory" -- "neural circuit dynamics"
"memory" -- "fetal alcohol spectrum disorders"
"memory" -- "jumping spiders"
"memory" -- "text comprehension"
"memory" -- "acetylcholine"
"memory" -- "associative learning"
"memory" -- "esrd"
"memory" -- "recognition memory"
"memory" -- "sensory neuroscience"
"memory" -- "neural oscillations"
"memory" -- "metacognition"
"memory" -- "adult neurogenesis"
"memory" -- "mind wandering"
"memory" -- "behavioral neuroscience"
"memory" -- "fear learning"
"landscape connectivity" -- "ecological modelling"
"v2v communications" -- "wireless communications"
"social networks" -- "information diffusion"
"social networks" -- "energy conservation"
"social networks" -- "politics of development"
"social networks" -- "big data privacy"
"social networks" -- "virtual communities"
"apoe" -- "alzheimer s disease"
"irish studies" -- "postcolonial studies"
"clinical psychopharmacology" -- "psychiatry"
"fungal infections" -- "immunology"
"fungal infections" -- "transplant infectious diseases"
"viking studies" -- "archaeology"
"underwater communications" -- "underwater acoustic networks"
"paediatric orthopaedics" -- "distraction"
"genomica" -- "biologia de sistemas"
"concurrent programming" -- "programming languages"
"liaison psychiatry" -- "patient involvement"
"sentencing" -- "criminal law"
"acarology" -- "symbionts"
"nonlinear optics" -- "pulse shaping"
"nonlinear optics" -- "ultrafast phenomena"
"nonlinear optics" -- "microcavity"
"nonlinear optics" -- "mid-infrared lasers"
"nonlinear optics" -- "terahertz photonics"
"nonlinear optics" -- "ultrafast lasers"
"nonlinear optics" -- "quantum optics"
"nonlinear optics" -- "fibre optics"
"nonlinear optics" -- "fiber lasers"
"nonlinear optics" -- "microspectroscopy"
"building construction" -- "building technology"
"friction stir welding" -- "welding metallurgy"
"friction stir welding" -- "response surface methodology"
"friction stir welding" -- "recrystallization"
"synapse development" -- "synaptic plasticity"
"cosmetics" -- "pharmaceutics"
"industrial districts" -- "clustering"
"hydrological modeling" -- "groundwater recharge"
"natural convection" -- "heat transfer"
"astrochemistry" -- "gas phase kinetics"
"environmental horticulture" -- "plant physiology"
"human osteology" -- "bioarchaeology"
"temporomandibular disorders" -- "implant prosthodontics"
"temporomandibular disorders" -- "oral cancer"
"ginecologia" -- "obstetrícia"
"ginecologia" -- "primo interesse"
"membrane separation technology" -- "chemical engineering"
"arificial intelligence" -- "computer vision"
"flight mechanics" -- "rotorcraft"
"pharmaceutical sciences" -- "anticancer drugs"
"attosecond physics" -- "high harmonic generation"
"attosecond physics" -- "ultrafast molecular dynamics"
"palaeolithic" -- "archaeology"
"solar cells" -- "transistors"
"solar cells" -- "nanomaterials for energy"
"solar cells" -- "thin film electronics"
"solar cells" -- "solar energy materials"
"random networks" -- "network science"
"large scale data processing" -- "distributed"
"heterogeneous catalysts" -- "fuel cells"
"innovación social" -- "relaciones públicas"
"transcription" -- "epigenetics"
"transcription" -- "retinoblastoma"
"sustainable building" -- "embodied energy"
"consumer behavior" -- "choice architecture"
"consumer behavior" -- "services marketing"
"consumer behavior" -- "sensory marketing"
"consumer behavior" -- "food choice"
"consumer behavior" -- "brand relationships"
"consumer behavior" -- "environmental marketing"
"medya" -- "toplumsal cinsiyet"
"tibetan buddhism" -- "indian"
"web analytics" -- "information science"
"atom interferometry" -- "bose-einstein condensation"
"business intelligence" -- "analytical marketing"
"neurodevelopmental disorders" -- "in vitro disease modeling"
"dye-sensitized solar cells" -- "perovskite solar cells"
"dye-sensitized solar cells" -- "ionic conductor"
"ancient greek" -- "roman philosophy"
"social web mining" -- "database theory"
"climate physics" -- "atmospheric science"
"didattica" -- "tecnologie didattiche"
"didattica" -- "pedagogia sociale"
"enzyme mechanism" -- "biocatalysis"
"silicon" -- "scienza dei materiali"
"technological dynamics" -- "performance metrics"
"teacher education" -- "english as a foreign language"
"teacher education" -- "teacher identity"
"teacher education" -- "educational evaluation"
"teacher education" -- "arts-based research"
"teacher education" -- "student learning"
"teacher education" -- "teacher knowledge"
"teacher education" -- "teacher development"
"teacher education" -- "social emotional learning"
"teacher education" -- "history of education"
"teacher education" -- "secondary education"
"teacher education" -- "math education"
"computational fluid" -- "experimental"
"optical sensing" -- "nanophotonics"
"stochastic dynamics" -- "structural reliability"
"makerspaces" -- "distance learning"
"family" -- "ethnic minority mental health"
"family" -- "beleid"
"family" -- "marriage"
"family" -- "medical family therapy"
"dental erosion" -- "fluoride"
"pigments" -- "photosynthesis"
"integrative bioinformatics" -- "ontologies"
"qualitative spatial reasoning" -- "geographic information science"
"dissolution" -- "social stratification"
"rna modification" -- "genome evolution"
"neuroradiology" -- "pediatric radiology"
"invasion biology" -- "food web ecology"
"european studies" -- "international relations"
"multilingualism" -- "bilingualism"
"chip multiprocessors" -- "network-on-chip"
"alcohol use disorders" -- "sensation seeking"
"antipsychotics" -- "amyloid precursor protein"
"brittle fracture" -- "dynamic behavior of materials"
"spatial interaction" -- "cognitive systems"
"respiration" -- "plant lipid metabolism"
"respiration" -- "cowpea"
"cognitive linguistics" -- "corpus"
"thermal hydraulics" -- "heat transfer"
"stochastic operations research" -- "queueing theory"
"raman spectroscopy" -- "cancer detection"
"raman spectroscopy" -- "photoluminescence"
"raman spectroscopy" -- "quantum chemsitry"
"raman spectroscopy" -- "optical detection"
"raman spectroscopy" -- "cvd growth"
"maternal fetal medicine" -- "obstetrics"
"self-determination" -- "transition"
"germ cell biology" -- "neuroendocrinology"
"genocide studies" -- "testimony"
"pollen morphology" -- "palaeoclimatology"
"philosophy of medicine" -- "bioethics"
"community engagement" -- "participatory action research"
"fingerprint" -- "biometrics"
"rome" -- "art history"
"trusted computing" -- "privacy"
"bio-oil" -- "dft"
"problem gambling" -- "public health"
"qos in wireless networks" -- "queueing theory"
"theoretical psychology" -- "public deliberation"
"strongly correlated electrons" -- "hubbard model"
"docencia" -- "educación social"
"ecologia marinha" -- "oceanografia biológica"
"information markets" -- "information"
"political behavior" -- "racial politics"
"political behavior" -- "australian politics"
"environmental ethics" -- "animal ethics"
"environmental ethics" -- "bioethics"
"environmental ethics" -- "christian ethics"
"membrane formation" -- "pressure retarded osmosis"
"neurodegeneración" -- "alzheimer"
"rf mems" -- "microwave engineering"
"phononic crystals" -- "metamaterials"
"oncologia" -- "quimioterapia"
"oncologia" -- "medicina molecolare"
"oncologia" -- "genetica molecolare"
"event studies" -- "branding"
"pelvic organ prolapse" -- "incontinence"
"pelvic organ prolapse" -- "urinary incontinence"
"hcir" -- "information retrieval"
"mesophyll conductance" -- "photosynthesis"
"carbonate sedimentology" -- "mesozoic"
"carbonate sedimentology" -- "isotope geochemistry"
"intelligent transportation" -- "power systems"
"liver tissue engineering" -- "biomaterials"
"narrative studies" -- "nursing ethics"
"biomimetic materials" -- "mechanics of materials"
"ncl_cs_sys" -- "privacy"
"molecular modeling" -- "computational chemistry"
"molecular modeling" -- "fragment-based drug design"
"lean" -- "agile"
"lean" -- "six sigma"
"lean" -- "operations management"
"mobile apps" -- "web services"
"comparative public policy" -- "environmental policy"
"self-study" -- "pck"
"t cell biology" -- "immunology"
"microfibers" -- "optical resonators"
"quantum" -- "error correction"
"quantum" -- "near-field microscopy"
"ship design" -- "human centred design"
"isotope geochemistry" -- "geochronology"
"organization theory" -- "organizational routines"
"organization theory" -- "institutional theory"
"organization theory" -- "entrepreneurship"
"developmental criminology" -- "criminological theory"
"family dynamics" -- "social stratification"
"comunicaciones móviles" -- "simulación"
"transportation planning" -- "town planning"
"transportation planning" -- "public transport"
"repositorios" -- "biblioteca universitaria"
"repositorios" -- "acceso abierto"
"central asian politics" -- "international relations"
"labour studies" -- "political economy"
"stem cell biology" -- "developmental biology"
"teoría política" -- "ciencia política"
"post-soviet" -- "nation-building"
"industrial pharmacy" -- "pharmaceutics"
"italian" -- "language contact"
"lithium ion battery materials" -- "sustainability"
"micology" -- "molecular biology"
"wireless power transfer" -- "power management ic"
"nano energy" -- "nanogenerator"
"mild combustion" -- "air conditioning"
"independent living" -- "inclusive research"
"military intervention" -- "civilian casualties"
"trauma orthopaedics" -- "surgical simulation"
"hydrogen" -- "fuel cells"
"image fusion" -- "digital photography"
"theory of condensed matter" -- "electronic excitations"
"convection" -- "mesoscale dynamics"
"bibliometrics" -- "research evaluation"
"bibliometrics" -- "relational databases"
"bibliometrics" -- "information science"
"bibliometrics" -- "research policy"
"bibliometrics" -- "library information science"
"austrian economics" -- "public choice"
"controle de processos" -- "processamento de sinais"
"design processes" -- "participatory design"
"chemistry" -- "macrocyclic chemistry"
"chemistry" -- "materials"
"chemistry" -- "pesticides"
"chemistry" -- "adme"
"immunopharmacology" -- "immunology"
"medical image processing" -- "medical imaging systems"
"macromolecules" -- "carbon"
"inteligencia emocional" -- "rendimiento académico"
"inteligencia emocional" -- "educación"
"sociología política" -- "movimientos sociales"
"mast cells" -- "allergy"
"prosopagnosia" -- "face perception"
"climate dynamics" -- "el nino"
"climate dynamics" -- "snowball earth"
"climate dynamics" -- "ocean-atmosphere interaction"
"climate dynamics" -- "typhoon"
"climate dynamics" -- "atmosphere-ocean-ice interactions"
"dsl" -- "hearing aids"
"sexual conflict" -- "sexual selection"
"college athletics" -- "schools"
"x-ray" -- "synchrotron"
"x-ray" -- "langmuir monolayer"
"rational choice theory" -- "philosophy of human rights"
"cretaceous" -- "biostratigraphy"
"cretaceous" -- "bone histology"
"simulation" -- "grasp planning"
"simulation" -- "device modeling"
"simulation" -- "pedestrian dynamics"
"simulation" -- "network emulation"
"simulation" -- "its"
"simulation" -- "healthcare systems"
"simulation" -- "interprofessional education"
"simulation" -- "modeling"
"simulation" -- "nature-inspired computing"
"eu" -- "comparative politics"
"law psychology" -- "group behavior"
"optique" -- "photonique"
"eastern europe" -- "eurasia"
"eastern europe" -- "cultural analysis"
"foams" -- "emulsions"
"computer-aided design" -- "electronic design automation"
"british politics" -- "political parties"
"life balance" -- "work"
"ceramic engineering" -- "solid oxide fuel cells"
"football" -- "sport"
"osmotic stress" -- "anhydrobiosis"
"simplification" -- "summarization"
"video compression" -- "h.264"
"business history" -- "organizational capabilities"
"business history" -- "economic history"
"business history" -- "knowledge integration"
"business history" -- "management organizational history"
"rescue" -- "search"
"programming environments" -- "programming languages"
"generic programming" -- "functional programming"
"cognitive ability" -- "personality"
"algoritmos evolutivos" -- "redes neuronales"
"thermochronometry" -- "continental tectonics"
"riemannian geometry" -- "symmetric spaces"
"foresight" -- "scenarios"
"computer-based learning environments" -- "self-regulated learning"
"disabilità" -- "famiglia"
"music composition" -- "music analysis"
"star formation" -- "molecular clouds"
"lab-on-a-chip devices" -- "microfluidics"
"pancreatic cancer" -- "liver cancer"
"pancreatic cancer" -- "swi"
"cultural history" -- "south asian history"
"eu enlargement" -- "ireland"
"gnc" -- "trajectory optimization"
"cbram" -- "memory technology"
"taxonomia" -- "briologia"
"taxonomia" -- "florística"
"taxonomia" -- "crustáceos"
"saccharomyces cerevisiae" -- "yeast"
"structural impact" -- "impact engineering"
"trigeneration" -- "cogeneration"
"problem solving" -- "critical thinking"
"epilepsy" -- "general neurology"
"epilepsy" -- "adenosine receptors"
"epilepsy" -- "pediatric neurology"
"scienze ambientali" -- "biologia"
"log analysis" -- "search behavior"
"log analysis" -- "distributed systems"
"acoustic communication" -- "behavioral ecology"
"lactation" -- "nutrition"
"transport policy" -- "transport economics"
"perioperative medicine" -- "anesthesiology"
"archaeobotany" -- "palaeoethnobotany"
"archaeobotany" -- "archaeology"
"signaling pathways" -- "cancer biology"
"permeability" -- "membranes"
"telecomunicações" -- "processamento de sinais"
"gesture recognition" -- "emotion detection"
"mr physics" -- "magnetic resonance imaging"
"psicologia da saúde" -- "psicologia do desenvolvimento"
"psicologia da saúde" -- "espiritualidad"
"19th century" -- "international relations"
"immunomodulation" -- "immunology"
"shielding" -- "emc"
"order" -- "topology"
"optical angular momentum" -- "optical forces"
"biochemistry education" -- "inquiry"
"electric vehicle grid integration" -- "wind power integration"
"cavity quantum electrodynamics" -- "quantum optics"
"plant protection" -- "plant pathology"
"ecological parasitology" -- "invasive species"
"geriatric mental health" -- "bipolar disorder"
"agricultural economics" -- "wine economics"
"agricultural economics" -- "food policy"
"value-based care" -- "healthcare"
"mouse genetics" -- "developmental biology"
"ecologia florestal" -- "silvicultura"
"video understanding" -- "computer vision"
"liquid chromatography" -- "drug analysis"
"fault diagnosis" -- "mechanical dynamics"
"fault diagnosis" -- "fault tolerant control"
"fault diagnosis" -- "fault-tolerant systems"
"secondary battery" -- "energy storage"
"freshwater ecosystems" -- "emerging technologies"
"freshwater ecosystems" -- "stream temperature"
"zimbabwe" -- "electoral violence"
"active noise" -- "vibration control"
"online research" -- "ethics"
"allergology" -- "immunology"
"second language education" -- "phonetics"
"protein-protein interactions" -- "host-pathogen"
"medizin" -- "neurochirurgie"
"medizin" -- "philosophy"
"psicologia educacional" -- "história da psicologia"
"psicologia educacional" -- "formação de professores"
"repetitive control" -- "distributed generation"
"guidelines" -- "health research methodology"
"sparql" -- "rdf"
"higher education marketing" -- "asymmetric information"
"perfusion" -- "imaging"
"statistical software" -- "applied statistics"
"pharmacognosy" -- "chemistry of natural products"
"branding" -- "retail design"
"branding" -- "market orientation"
"branding" -- "economia da cultura"
"branding" -- "cultural diversity"
"branding" -- "experience marketing"
"branding" -- "social media metrics"
"história da áfrica" -- "escravidão"
"fruit science" -- "postharvest physiology"
"bestuurskunde" -- "public administration"
"multicore programming" -- "mobile computing"
"fractional calculus" -- "fractional order control"
"fire protection" -- "materials"
"viral immunology" -- "molecular virology"
"finite element analysis" -- "electromagnetic forming"
"finite element analysis" -- "electromagnetic devices"
"finite element analysis" -- "corneal biomechanics"
"early medieval history" -- "late antiquity"
"geologia econômica" -- "mineralogia"
"insecticide toxicology" -- "resistance"
"palaeopathology" -- "bioarchaeology"
"nurse practitioner" -- "pediatric health care"
"nurse practitioner" -- "long-term care"
"coastal geomorphology" -- "sea level change"
"synaptic physiology" -- "calcium regulation"
"genetic testing" -- "genetics"
"salud pública" -- "enfermería comunitaria"
"security requirements engineering" -- "requirements engineering"
"high-speed atomic force microscopy" -- "control theory"
"usa" -- "social"
"usa" -- "europa"
"rivers" -- "streams"
"rivers" -- "deltas"
"rivers" -- "freshwater invertebrates"
"rivers" -- "secondary production"
"rest" -- "web services"
"philosophy of law" -- "philosophy of sport"
"complex dynamics" -- "low-dimensional topology"
"digital image analysis" -- "evolutionary algorithms"
"distributed algorithms" -- "distributed systems"
"applied sociology" -- "urban education"
"english language education" -- "curriculum development"
"writing centers" -- "classical studies"
"educational administration" -- "educational leadership"
"educational administration" -- "data-based decision making"
"multiscale modeling of materials" -- "nanomechanics"
"multifunctional materials" -- "mechanics of materials"
"concrete materials" -- "structural engineering"
"quantum networks" -- "quantum information theory"
"creativity in education" -- "entrepreneurial education"
"iranian languages" -- "language documentation"
"ultracold quantum gases" -- "quantum optics"
"ultracold quantum gases" -- "non-equilibrium dynamics"
"fundamental rights" -- "comparative constitutional law"
"prison health" -- "mental health"
"authority control" -- "cataloging"
"space systems engineering" -- "astrodynamics"
"rtms" -- "psychiatry"
"point cloud processing" -- "photogrammetry"
"six sigma" -- "lean manufacturing"
"auditory cognitive neuroscience" -- "speech perception"
"populus" -- "genome evolution"
"flotation" -- "mineral processing"
"sarcoidosis" -- "neurology"
"intervention studies" -- "allergy"
"green design" -- "sustainability"
"foxo" -- "cardiomyocytes"
"climate resilience" -- "sustainable built environment"
"factor analysis" -- "psychometrics"
"non-representational theory" -- "materials"
"protein clustering" -- "image cytometry"
"green engineering" -- "sustainability"
"trabecular meshwork" -- "glaucoma"
"activated sludge" -- "anaerobic digestion"
"activated sludge" -- "pyrosequencing"
"photovoltaic materials" -- "electronic materials"
"e-government" -- "e-democracy"
"e-government" -- "public financial management"
"secondhand smoke" -- "tobacco control"
"science journalism" -- "journalism"
"speech motor control" -- "speech disorders"
"speech motor control" -- "motor speech disorders"
"advanced packaging" -- "process development"
"mass customization" -- "reconfigurable manufacturing"
"geocoding" -- "health gis"
"infection prevention" -- "public health"
"fish population dynamics" -- "modeling"
"psychiatry" -- "geriatric psychiatry"
"psychiatry" -- "mental health"
"psychiatry" -- "functional health"
"psychiatry" -- "neuropsychiatry"
"structural complexity" -- "vortex dynamics"
"pufs" -- "hardware security"
"hedgehog signaling" -- "cancer biology"
"affordances" -- "ecological psychology"
"orthopaedic surgery" -- "spinal deformities"
"graphene chemistry" -- "supercapacitors"
"human vision" -- "computer vision"
"education" -- "drama therapy"
"education" -- "life-span human development"
"education" -- "czech literature"
"education" -- "career counseling"
"education" -- "interculturel"
"education" -- "democratic education"
"education" -- "schools"
"education" -- "psychological measurement"
"education" -- "curriculum development"
