"perceptual decision making" -- "attention"
"adaptation" -- "climate vulnerability"
"antennas" -- "fss"
"antennas" -- "rf engineering"
"antennas" -- "telecommunication engineering"
"antennas" -- "metamaterials"
"antennas" -- "computational electromagnetics"
"antennas" -- "rf systems"
"antennas" -- "microwave devices"
"territorial disputes" -- "international relations"
"genitourinary oncology" -- "cancer immunotherapy"
"field experiments" -- "voter turnout"
"social studies" -- "education"
"parent-child relationships" -- "parenting"
"antropologia" -- "demografia"
"antropologia" -- "antropologia urbana"
"vector ecology" -- "malaria"
"hetnets" -- "network optimisation"
"ataxia" -- "cerebellum"
"hepatocellular carcinoma" -- "liver transplantation"
"wireless sensing" -- "energy harvesting"
"international research collaboration" -- "research administration"
"fiber bragg gratings" -- "sensors"
"meccatronica" -- "elettronica"
"meccatronica" -- "bioingegneria"
"german politics" -- "political parties"
"destination marketing" -- "branding"
"urologic oncology" -- "urology"
"stereochemistry" -- "lanthanides"
"marine policy" -- "social ecology"
"marine policy" -- "fisheries"
"governance" -- "nonprofits"
"governance" -- "public administration"
"governance" -- "public service delivery"
"governance" -- "energy transition"
"work-family issues" -- "recovery"
"events" -- "festivals"
"defence" -- "foreign policy"
"físico-química" -- "microscopia"
"evolutionary dynamics" -- "complex systems"
"óptica" -- "biomedicina"
"óptica" -- "optometría"
"historia del cine" -- "historia del arte"
"network survivability" -- "network virtualization"
"graph data" -- "databases"
"teacher-student relationships" -- "education"
"bacteriology" -- "microbiology"
"ppgis" -- "gis"
"fluid machinery" -- "energy generation"
"social welfare" -- "poverty"
"numerical algebraic geometry" -- "math biology"
"density functional theory" -- "quantum chemistry"
"density functional theory" -- "computational materials science"
"steel connections" -- "structural engineering"
"psicologia da educação" -- "história da psicologia"
"land use modeling" -- "gis"
"rf photonics" -- "silicon photonics"
"categorification" -- "geometric representation theory"
"resilient infrastructure" -- "sustainability"
"eeg" -- "low power circuit design"
"eeg" -- "epilepsy genetics"
"eeg" -- "mirror neuron system"
"eeg" -- "evoked potentials"
"eeg" -- "bci"
"fish stock assessment" -- "acoustics"
"colorimetry" -- "color vision"
"lameness" -- "isu-vdpam"
"social reproduction" -- "cultural reproduction"
"work stress" -- "workplace bullying"
"lichenology" -- "botany"
"pronunciation" -- "phonetics"
"itch" -- "pain"
"optical tweezers" -- "optics"
"earthquake physics" -- "rock mechanics"
"langmuir monolayer" -- "x-ray"
"reporting" -- "financial accounting"
"regeneration" -- "invertebrate biology"
"numerical analysis" -- "math biology"
"numerical analysis" -- "mesh adaptation"
"numerical analysis" -- "interval analysis"
"numerical analysis" -- "scientific computing"
"numerical analysis" -- "conservation laws"
"numerical analysis" -- "discontinuous galerkin methods"
"numerical analysis" -- "integral equations"
"numerical analysis" -- "finite element method"
"numerical analysis" -- "numerical linear algebra"
"numerical analysis" -- "partial differential equations"
"numerical analysis" -- "matrix computations"
"numerical analysis" -- "numerical pdes"
"numerical analysis" -- "pdes"
"numerical analysis" -- "approximation theory"
"numerical analysis" -- "eigenvalue problems"
"psychoneuroendocrinology" -- "biological psychology"
"complex traits" -- "genetics"
"natural fibre composites" -- "bamboo"
"neurobiology of learning" -- "memory"
"bone remodeling" -- "tissue engineering"
"corporate taxation" -- "financial accounting"
"analytic number theory" -- "number theory"
"endothelial biology" -- "cancer biology"
"copyright law" -- "privacy law"
"pcos" -- "infertility"
"debris flow" -- "avalanches"
"debris flow" -- "landslides"
"debris flow" -- "flash floods"
"li-s batteries" -- "energy storage"
"extrusion" -- "metal forming"
"declarative languages" -- "logic programming"
"wearable antennas" -- "antenna design"
"vitamin c" -- "alzheimer s disease"
"pig" -- "swine"
"sociology" -- "education"
"sociology" -- "african american studies"
"sociology" -- "criminology"
"sociology" -- "social research methods"
"sociology" -- "racial inequality"
"sociology" -- "arabian gulf"
"sociology" -- "race relations"
"sociology" -- "social theory"
"amnesia" -- "memory"
"addiction medicine" -- "behavioral health"
"applied biostatistics" -- "medical devices"
"computer science" -- "cyberinfrastructure"
"computer science" -- "math"
"computer science" -- "programming"
"organizations" -- "work"
"organizations" -- "economic sociology"
"neurochirurgia" -- "oncologia"
"educación física" -- "psicología del deporte"
"educación física" -- "educación"
"performance assessment" -- "teacher education"
"community organizing" -- "environmental justice"
"mapk signaling" -- "dengue virus"
"high-k" -- "mos devices"
"sleep medicine" -- "psychiatry"
"sleep medicine" -- "medical communication"
"dendrimers" -- "drug delivery"
"formación de profesorado" -- "tic"
"magnetostriction" -- "transformation"
"collection development" -- "licensing"
"ckd" -- "nephrology"
"precision medicine" -- "computational pathology"
"precision medicine" -- "translational genomics"
"precision medicine" -- "biobanking"
"bone mechanics" -- "bone imaging"
"child anxiety" -- "dissemination"
"child anxiety" -- "treatment integrity"
"physics" -- "cold molecules"
"physics" -- "condensed matter theory"
"physics" -- "qed"
"physics" -- "nanoscience nanotechnology"
"physics" -- "neurophysics"
"physics" -- "high energy phenomenology"
"physics" -- "hep"
"physics" -- "optics"
"fractal physiology" -- "cardiovascular dynamics"
"composting" -- "anaerobic digestion"
"partidos políticos" -- "ciencia política"
"silicon photonics" -- "optical resonators"
"ecogeomorphology" -- "ecohydrology"
"fotosintesi" -- "nanotecnologie"
"reliability" -- "electronic packaging"
"algebra" -- "ring theory"
"instructional communication" -- "interpersonal communication"
"endocrinology" -- "reproductive physiology"
"endocrinology" -- "endocrine disruption"
"endocrinology" -- "mineral metabolism"
"cognitive flexibility" -- "memory"
"teacher thinking" -- "english education"
"activity monitoring" -- "accelerometry"
"professional learning" -- "teacher education"
"thalamus" -- "memory"
"occupational health" -- "safety"
"mathématiques" -- "analyse"
"estudos organizacionais" -- "comunicação organizacional"
"environmental impact assessment" -- "ecological modelling"
"ca2+ signaling" -- "biophysics"
"national parks" -- "acoustics"
"ecology" -- "tropical forests"
"ecology" -- "social insects"
"ecology" -- "behaviour"
"ecology" -- "insecticides"
"ecology" -- "fisheries"
"ecology" -- "animal movement"
"ecology" -- "marine biology"
"ecology" -- "invasion biology"
"ecology" -- "species distributions"
"ecology" -- "botany"
"ecology" -- "tropics"
"ecology" -- "ecotoxicology"
"ecology" -- "freshwater biology"
"ecology" -- "coexistence"
"ecology" -- "fragmentation"
"ecology" -- "metacommunities"
"ecology" -- "global change"
"ecology" -- "deep-sea"
"ecology" -- "insect biology"
"ecology" -- "bryology"
"ecology" -- "climate change biology"
"ecology" -- "shellfish"
"ecology" -- "niche modeling"
"ecology" -- "applied entomology"
"ecology" -- "mycorrhiza"
"ecology" -- "wildlife"
"ecology" -- "fire history"
"ecology" -- "ecophysiology"
"ecology" -- "plant-animal interactions"
"ecology" -- "biogeography"
"ecology" -- "biomonitoring"
"ecology" -- "zoology"
"ecology" -- "natural resource management"
"ecology" -- "cephalopods"
"ecology" -- "behavioral plasticity"
"ecology" -- "eco-evolutionary dynamics"
"ecology" -- "crayfish"
"ecology" -- "invasive species"
"ecology" -- "entomology"
"ecology" -- "pollination"
"ecology" -- "food webs"
"ecology" -- "marine"
"ecology" -- "ants"
"ecology" -- "ecosystem engineers"
"profiling" -- "big data"
"suicide" -- "self-harm"
"suicide" -- "depression"
"optical coherence tomography" -- "biomedical optics"
"optical coherence tomography" -- "photoacoustic microscopy"
"optical coherence tomography" -- "multimodal imaging"
"spintronics" -- "magnetic recording"
"spintronics" -- "spin physics"
"spintronics" -- "mram"
"spintronics" -- "schottky diodes"
"spintronics" -- "domain walls"
"neurodegenerative disorders" -- "alzheimer s disease"
"holocaust" -- "genocide"
"wealth" -- "social stratification"
"water splitting" -- "photocatalysis"
"social foundations of education" -- "teacher education"
"militarism" -- "war"
"environmental geography" -- "sustainability science"
"counseling" -- "gender issues"
"counseling" -- "clinical supervision"
"cell" -- "tissue mechanics"
"public policy" -- "public administration"
"public policy" -- "citizen engagement"
"public policy" -- "administration"
"public policy" -- "eu politics"
"teams" -- "team processes"
"bioeconomic modelling" -- "game theory"
"honey bee biology" -- "behavioral ecology"
"endurance performance" -- "frailty"
"organisational psychology" -- "work"
"replication" -- "genetics"
"condition based maintenance" -- "reliability assessment"
"illness" -- "health"
"illness" -- "sociology of health"
"political geography" -- "geopolitics"
"political geography" -- "ireland"
"electrochemical energy conversion" -- "fuel cells"
"attitudes" -- "nonproliferation"
"attitudes" -- "psicología social"
"medical informatics" -- "clinical decision support"
"acquisitions" -- "electronic resource management"
"pressure transient analysis" -- "reservoir engineering"
"cardiovascular nutrition" -- "clinical nutrition"
"educational psychology" -- "educational technology"
"open educational resources" -- "learning objects"
"open educational resources" -- "academic analytics"
"constructionism" -- "maker culture"
"écologie microbienne" -- "microbiologie"
"dental biomaterials" -- "special care dentistry"
"dental biomaterials" -- "tissue engineering"
"value of information" -- "expert judgment"
"aluminium alloys" -- "friction stir welding"
"catalyst synthesis" -- "organic chemistry"
"educación ambiental" -- "educación social"
"astroparticle" -- "cosmology"
"child abuse" -- "teen dating violence"
"child abuse" -- "family violence"
"geoinformatics" -- "gis"
"nuclear" -- "particle physics"
"archivística" -- "historia"
"epigenetics" -- "repetitive dna"
"epigenetics" -- "hematopoietic malignancies"
"epigenetics" -- "rna methylation"
"epigenetics" -- "small rnas"
"epigenetics" -- "genetics"
"epigenetics" -- "developmental genetics"
"epigenetics" -- "lncrna"
"epigenetics" -- "rett syndrome"
"epigenetics" -- "transcription"
"epigenetics" -- "non-coding rna"
"epigenetics" -- "nuclear architecture"
"epigenetics" -- "germ cells"
"epigenetics" -- "leukaemia"
"epigenetics" -- "chromatin remodeling"
"epigenetics" -- "methylation"
"epigenetics" -- "non-coding rnas"
"epigenetics" -- "gene-environment interaction"
"epigenetics" -- "chromatin"
"classical philology" -- "digital humanities"
"cannabis" -- "opiates"
"mechanical alloying" -- "powder metallurgy"
"variational calculus" -- "partial differential equations"
"experimental condensed matter" -- "superconductivity"
"functional foods" -- "nutraceuticals"
"functional foods" -- "nutrition"
"community interpreting" -- "translation"
"characterization techniques" -- "graphene electronics"
"characterization techniques" -- "environmental soil chemistry"
"motivated behavior" -- "memory"
"feminism" -- "lgbtq studies"
"sickle cell disease" -- "hemoglobin"
"full duplex" -- "wireless communications"
"biomedical informatics" -- "clinical informatics"
"biomedical informatics" -- "electronic health records"
"biomedical informatics" -- "health information exchange"
"léxico" -- "terminología"
"virtual characters" -- "computer animation"
"transitional justice" -- "reconciliation"
"coding" -- "modulation"
"endocrinochirurgia" -- "patologia clinica"
"endocrinochirurgia" -- "oncologia"
"republicanism" -- "critical theory"
"global change" -- "plant biodiversity"
"sociophysics" -- "econophysics"
"early diagnosis" -- "early detection"
"formación" -- "educación"
"nanosystems" -- "bioengineering"
"nanosystems" -- "nanomanipulation"
"nonadiabatic dynamics" -- "quantum trajectories"
"access to information" -- "privacy"
"3d user interfaces" -- "virtual reality"
"acoustics" -- "valleytronics"
"acoustics" -- "infrasound"
"acoustics" -- "environmental noise"
"acoustics" -- "voice science"
"acoustics" -- "active noise control"
"acoustics" -- "biological flows"
"acoustics" -- "satellite telemetry"
"acoustics" -- "structural vibration"
"acoustics" -- "audio"
"educación para la ciudadanía" -- "didáctica de las ciencias sociales"
"ubiquitous virtual reality" -- "augmented reality"
"embryology" -- "developmental biology"
"galactic chemical evolution" -- "origin"
"terapia celular" -- "engenharia de tecidos"
"chinese literature" -- "poetry"
"phytophthora" -- "plant pathology"
"tecnología educativa" -- "innovación educativa"
"tecnología educativa" -- "tic"
"work-family conflict" -- "work"
"cognitive development" -- "developmental cognitive neuroscience"
"cognitive development" -- "inductive inference"
"radio astronomy" -- "computational cosmology"
"педагогика" -- "методика"
"tissue engineering" -- "osseointegration"
"tissue engineering" -- "biomicrofluidics"
"tissue engineering" -- "articular cartilage"
"tissue engineering" -- "cellular engineering"
"tissue engineering" -- "3d printing"
"tissue engineering" -- "plastic surgery"
"tissue engineering" -- "cartilage repair"
"tissue engineering" -- "cell therapy"
"tissue engineering" -- "cartilage biomechanics"
"tissue engineering" -- "stem cell therapy"
"tissue engineering" -- "vascular"
"tissue engineering" -- "stem cell research"
"tissue engineering" -- "biomanufacturing"
"tissue engineering" -- "cartilage"
"tissue engineering" -- "bioreactors"
"tissue engineering" -- "regenerative"
"tissue engineering" -- "adult stem cells"
"tissue engineering" -- "bone regeneration"
"tissue engineering" -- "regenerative endodontics"
"tissue engineering" -- "nanotoxicity"
"tissue engineering" -- "artificial organs"
"financial stability" -- "banking"
"fund management" -- "market microstructure"
"space physics" -- "aeronomy"
"space physics" -- "magnetospheric physics"
"space physics" -- "space plasma"
"nanobiomaterials" -- "drug delivery"
"environmental ecological engineering" -- "civil engineering"
"creative technology" -- "requirements engineering"
"science teaching" -- "history of science"
"spd" -- "metal forming"
"process safety" -- "risk analysis"
"satellite imagery" -- "remote sensing"
"conceptual modeling" -- "ontologies"
"grace" -- "remote sensing"
"health care reform" -- "social policy"
"economic inequality" -- "labour economics"
"facial expression analysis" -- "computer vision"
"problemas inversos" -- "transferência de calor"
"administration" -- "college health"
"multi" -- "many-objective optimization"
"sensory processing" -- "retinal neurobiology"
"muscle metabolism" -- "recovery"
"disaster research" -- "sustainability"
"lingüística de corpus" -- "lingüística aplicada"
"preschool education" -- "early childhood education"
"biomedical nanotechnology" -- "drug delivery"
"cytogenetics" -- "genetics"
"nicaragua" -- "environment"
"acute myeloid leukemia" -- "myelodysplastic syndromes"
"drosophila development" -- "gene regulation"
"critical theory" -- "marxism"
"critical theory" -- "cultural studies"
"critical theory" -- "new media studies"
"school-to-work transition" -- "career development"
"parasitology" -- "immunology"
"parasitology" -- "leishmania"
"parasitology" -- "schistosomiasis"
"collective decision-making" -- "vortex dynamics"
"galaxy evolution" -- "cosmology"
"galaxy evolution" -- "supermassive black holes"
"galaxy evolution" -- "stellar populations"
"galaxy evolution" -- "observational astrophysics"
"exocytosis" -- "endocytosis"
"lyme disease" -- "borrelia"
"anemia" -- "nutrition"
"gender differences" -- "disorders of sex development"
"arrhythmia" -- "cardiovascular pharmacology"
"hcv" -- "hcc"
"complex systems modeling" -- "simulation"
"human adaptation" -- "biological anthropology"
"solid state devices" -- "photonics"
"nervous system development" -- "consciousness"
"couples" -- "marriage"
"mm-wave" -- "biomedical systems"
"veterinary neurology" -- "neurosurgery"
"delay tolerant networks" -- "wireless sensor networks"
"cell mechanics" -- "biophysics"
"cell mechanics" -- "mechanosensing"
"econometria" -- "economia"
"algebraic statistics" -- "applied algebraic geometry"
"appetite regulation" -- "nutrition"
"powder metallurgy" -- "titanium"
"power converters" -- "automatica"
"power converters" -- "matrix converter"
"power converters" -- "dc microgrid"
"plant-fungal interactions" -- "mycorrhiza"
"visual ethnography" -- "antropologie"
"visual ethnography" -- "education"
"myrmecology" -- "entomology"
"minería de datos" -- "inteligencia artificial"
"science-policy interface" -- "interdisciplinarity"
"literatura hispanoamericana" -- "literatura latinoamericana"
"psychology of education" -- "special educational needs"
"patrimonio" -- "arquitectura"
"theory" -- "educational philosophy"
"theory" -- "urban culture"
"trust" -- "privacy"
"oil" -- "gas"
"oil" -- "fats"
"pulmonary rehabilitation" -- "copd"
"inteligencia artificial" -- "robótica"
"inteligencia artificial" -- "sistemas empotrados"
"translational genomics" -- "gastroenterology hepatology"
"jet noise" -- "aeroacoustics"
"coronary artery disease" -- "atrial fibrillation"
"steroids" -- "chemistry"
"geotechnics" -- "civil engineering"
"preeclampsia" -- "prenatal screening"
"preeclampsia" -- "heme oxygenase"
"traducción audiovisual" -- "traducción"
"geospatial science" -- "remote sensing"
"career development" -- "school counseling"
"career development" -- "vocational psychology"
"retirement" -- "population ageing"
"retirement" -- "older workers"
"sliding mode control" -- "control theory"
"natural product synthesis" -- "organic chemistry"
"signal transduction" -- "bone development"
"signal transduction" -- "nf-kappab"
"signal transduction" -- "cancer biology"
"signal transduction" -- "cancer cell biology"
"constitutional law" -- "administrative law"
"constitutional law" -- "comparative law"
"constitutional law" -- "civil rights"
"constitutional law" -- "derecho constitucional"
"constitutional law" -- "lgbt rights"
"information systems research" -- "healthcare"
"drug delivery" -- "pharmaceutics"
"drug delivery" -- "molecular imprinting"
"drug delivery" -- "pharmaceutical sciences"
"drug delivery" -- "pharmaceutical nanotechnology"
"drug delivery" -- "inhalation"
"drug delivery" -- "gene"
"drug delivery" -- "solubility"
"drug delivery" -- "nanoengineering"
"drug delivery" -- "brain cancer"
"drug delivery" -- "photo"
"drug delivery" -- "dental"
"drug delivery" -- "cancer diagnosis"
"drug delivery" -- "mucus"
"drug delivery" -- "blood-brain barrier"
"drug delivery" -- "microneedles"
"drug delivery" -- "nanoemulsions"
"drug delivery" -- "drug targeting"
"drug delivery" -- "nanoparticles"
"drug delivery" -- "rna therapeutics"
"drug delivery" -- "injectable hydrogels"
"drug delivery" -- "formulation science"
"drug delivery" -- "nanoparticle transport"
"drug delivery" -- "cancer treatment"
"drug delivery" -- "mesenchymal stromal cells"
"complexity management" -- "global leadership"
"interest rates" -- "banking"
"state formation" -- "international relations"
"air pollution" -- "environmental epidemiology"
"air pollution" -- "volatile organic compounds"
"air pollution" -- "environmental health sciences"
"air pollution" -- "aerosol technology"
"air pollution" -- "particulate matter"
"silvicultura" -- "ecologia florestal"
"fundamental" -- "applied electrochemistry"
"fundamental" -- "new religious movements"
"textual criticism" -- "digital humanities"
"biomateriais" -- "engenharia de tecidos"
"biomateriais" -- "corrosão"
"health sciences" -- "public health"
"gender studies" -- "cultural studies"
"gender studies" -- "queer studies"
"single-photon detectors" -- "photonics"
"chromatin" -- "genome organization"
"chromatin" -- "nucleosomes"
"chromatin" -- "histones"
"omega-3 fatty acids" -- "nutrition"
"endocrinologie" -- "oncologie"
"multiprocessor systems" -- "embedded systems"
"non-formal education" -- "comparative international education"
"community development" -- "housing"
"specification" -- "verification"
"agricultural engineering" -- "precision agriculture"
"gene expression profiling" -- "3d imaging"
"transport phenomena in porous media" -- "enhanced oil recovery"
"stream ciphers" -- "cryptography"
"response to intervention" -- "curriculum-based measurement"
"response to intervention" -- "positive behavioral interventions"
"reconfigurable architectures" -- "embedded systems"
"espectroscopia" -- "engenharia biomédica"
"espectroscopia" -- "física"
"curriculum design" -- "instructional design"
"numerical linear algebra" -- "scientific"
"spiking neural networks" -- "computational neuroscience"
"animal welfare" -- "mice"
"cancer drug discovery" -- "cancer biology"
"nuclear engineering" -- "heat transfer"
"nuclear engineering" -- "radiation transport"
"interneurons" -- "epilepsy"
"filamentation" -- "nonlinear optics"
"film" -- "television"
"biologia da conservação" -- "taxonomia"
"organic chemistry" -- "polymer chemistry"
"organic chemistry" -- "organocatalysis"
"organic chemistry" -- "synthesis"
"organic chemistry" -- "carbohydrate chemistry"
"organic chemistry" -- "supramolecular chemistry"
"organic chemistry" -- "pharmaceutical chemistry"
"organic chemistry" -- "peptide synthesis"
"organic chemistry" -- "rna engineering"
"organic chemistry" -- "medicinal chemistry"
"química analítica" -- "modelagem molecular"
"química analítica" -- "cromatografia"
"peer effects" -- "retail strategy"
"biotransformation" -- "biocatalysis"
"microsimulation" -- "economic analysis"
"cenozoic" -- "coccolithophores"
"protein misfolding diseases" -- "clinical chemistry"
"biological soil crusts" -- "soil"
"intelligent vehicles" -- "computer vision"
"fluid-rock interaction" -- "hydrothermal systems"
"carbon cycle" -- "arctic ecosystems"
"distributed" -- "large scale data processing"
"metallurgy" -- "metals processing"
"holography" -- "three-dimensional display"
"holography" -- "optics"
"medieval music" -- "digital humanities"
"physiology" -- "temporomandibular joint"
"physiology" -- "stress adaptation"
"physiology" -- "orofacial pain"
"physiology" -- "cardiovascular"
"physiology" -- "respiration"
"general equilibrium" -- "game theory"
"organometallic chemistry" -- "inorganic"
"pulsars" -- "neutron stars"
"single cell analysis" -- "microfluidics"
"psicología social" -- "adult attachment"
"psicología social" -- "violencia"
"information security" -- "information security management"
"information security" -- "open systems"
"information security" -- "digital forensics"
"information security" -- "security management"
"information security" -- "information warfare"
"information security" -- "cryptography"
"information security" -- "malware analysis"
"seismic exploration" -- "natural hazards"
"rf circuits" -- "systems"
"mediterranean" -- "palynology"
"interpretación" -- "traducción"
"healthcare quality" -- "patient safety"
"dynein" -- "kinesin"
"neuronal excitability" -- "neurodegeneration"
"network protocols" -- "wireless sensor networks"
"palaeobiology" -- "palaeontology"
"radiosurgery" -- "brain tumors"
"networked control" -- "multi-agent systems"
"autoimmunity" -- "immunology"
"autoimmunity" -- "type 1 diabetes"
"evaluación educativa" -- "tic"
"fear conditioning" -- "memory"
"heterocyclic chemistry" -- "medicinal chemistry"
"poromechanics" -- "geomechanics"
"drug policy" -- "drug markets"
"gynaecology" -- "obstetrics"
"context" -- "memory"
"amazon" -- "environment"
"spatial science" -- "remote sensing"
"social-personality psychology" -- "morality"
"stereo vision" -- "computer vision"
"natural fibres" -- "composites"
"microreactors" -- "microfluidics"
"consumer economics" -- "food policy"
"ricerca educativa" -- "tecnologie didattiche"
"micro" -- "nanofluidics"
"micro" -- "phase change heat transfer"
"beam shaping" -- "optical manipulation"
"evaluación de programas" -- "tic"
"public health law" -- "health law"
"entomology" -- "apiculture"
"entomology" -- "diptera"
"entomology" -- "insect taxonomy"
"entomology" -- "chemical ecology"
"entomology" -- "termites"
"klinische psychologie" -- "neurowissenschaften"
"cromatografia" -- "espectrometria de massas"
"terahertz imaging" -- "quantum cascade lasers"
"systems" -- "biomedical circuits"
"systems" -- "type-2 fuzzy sets"
"systems" -- "physiological monitoring"
"systems" -- "low power circuits"
"water resources" -- "surface hydrology"
"intercultural competence" -- "teacher education"
"tropical geometry" -- "algebraic geometry"
"embedded systems" -- "cps"
"embedded systems" -- "hardware"
"embedded systems" -- "real-time"
"embedded systems" -- "low power systems"
"embedded systems" -- "ubiquitous systems"
"embedded systems" -- "fpga"
"embedded systems" -- "circuit design"
"embedded systems" -- "underwater sensor networks"
"embedded systems" -- "many-core architectures"
"embedded systems" -- "low power design"
"textiles" -- "composites"
"textiles" -- "fibres"
"psoriasis" -- "psoriatic arthritis"
"investigación" -- "educación"
"intravital microscopy" -- "biomedical optics"
"military sociology" -- "social stratification"
"ciência dos materiais" -- "cristalografia"
"ciência dos materiais" -- "física"
"electrodeposition" -- "grain boundary engineering"
"dielectric properties" -- "radioactivity"
"media psychology" -- "enjoyment"
"future thinking" -- "memory"
"coastal dynamics" -- "ocean modeling"
"rhinology" -- "facial plastic surgery"
"rhinology" -- "sinus surgery"
"mechatronics engineering" -- "computer vision"
"filosofía del derecho" -- "filosofía política"
"machining processes" -- "time delay"
"turtles" -- "jellyfish"
"mri" -- "mrs"
"mri" -- "brain metabolism"
"mri" -- "blood flow"
"mri" -- "cest"
"mri" -- "fast imaging"
"mri" -- "musculoskeletal radiology"
"mri" -- "focused ultrasound"
"mri" -- "ph"
"mri" -- "diffusion imaging"
"didáctica" -- "educación"
"personhood" -- "consciousness"
"crop production" -- "agronomy"
"danza" -- "art"
"lexicografía" -- "terminología"
"lexicografía" -- "procesamiento del lenguaje natural"
"apps" -- "emerging technologies"
"competition" -- "proactive behavior"
"participatory culture" -- "fan studies"
"density functional theory calculations" -- "raman spectroscopy"
"field-programmable gate arrays" -- "fpga"
"virtual worlds" -- "serious games"
"microdevices" -- "microfluidics"
"american politics" -- "congress"
"american politics" -- "electoral behavior"
"american politics" -- "american political development"
"javascript" -- "web applications"
"complex geometry" -- "algebraic geometry"
"system modeling" -- "simulation"
"big data" -- "mobile internet"
"big data" -- "nosql"
"big data" -- "banco de dados"
"big data" -- "cyber-physical"
"big data" -- "large-scale data management"
"big data" -- "data exploration"
"thin film deposition" -- "surface science"
"correlated electrons" -- "superconductivity"
"modern china" -- "history of science"
"public" -- "labor"
"artificial lift" -- "formation damage"
"income inequality" -- "poverty"
"false memory" -- "memory"
"false memory" -- "eyewitness memory"
"neuroinflammation" -- "tryptophan metabolism"
"neuroinflammation" -- "microglia"
"hepatitis c" -- "people who inject drugs"
"estudios culturales" -- "literatura latinoamericana"
"glycemic control" -- "nutrition"
"forest policy" -- "political ecology"
"veterinary" -- "veterinary parasitology"
"theoretical astrophysics" -- "cosmology"
"discourse" -- "proof"
"mitochondrial biogenesis" -- "oxidative stress"
"techno-economics" -- "access networks"
"educación a distancia" -- "educación"
"radiation detection" -- "measurement"
"radiation detection" -- "nuclear security"
"migração" -- "demografia"
"dialectical behavior therapy" -- "interpersonal"
"er stress" -- "unfolded protein response"
"political advertising" -- "elections"
"job stress" -- "international hrm"
"poultry husbandry" -- "immunology"
"bioestatística" -- "informática médica"
"fuels" -- "energy"
"exergy" -- "energy"
"child" -- "family well-being"
"littérature" -- "lecture"
"littérature" -- "art"
"swat" -- "hydrological modeling"
"forensic anthropology" -- "biological anthropology"
"forensic anthropology" -- "physical anthropology"
"water" -- "air"
"water" -- "hydrophobicity"
"water" -- "solid waste"
"water" -- "irrigation management"
"water" -- "soil"
"processamento de imagens" -- "visão computacional"
"movement disorders" -- "tremor"
"nonlinear optical spectroscopy" -- "electronics"
"teacher labor markets" -- "education policy"
"nonlinear fiber optics" -- "photonics"
"resource allocation" -- "wireless communications"
"spatial databases" -- "gis"
"developmental programming" -- "nutrition"
"phytochemistry" -- "marine natural products"
"urban growth modeling" -- "remote sensing"
"legal research" -- "law libraries"
"enumerative combinatorics" -- "algebraic combinatorics"
"nanocomposites" -- "hybrid materials"
"brain tumors" -- "neurosurgery"
"brain tumors" -- "glioma"
"integrated care" -- "patient safety"
"personalized medicine" -- "genomic medicine"
"recycling" -- "waste management"
"plasma actuators" -- "flow control"
"nodulation" -- "polyploidy"
"cellular biomechanics" -- "biophysics"
"vaccine design" -- "immunology"
"self-stabilization" -- "distributed algorithms"
"computational molecular biophysics" -- "protein folding"
"political attitudes" -- "political behavior"
"space-time codes" -- "wireless communications"
"mecânica estatística" -- "física da matéria condensada"
"linguistics" -- "sign language"
"linguistics" -- "language typology"
"linguistics" -- "phonetics"
"linguistics" -- "sociolinguistics"
"linguistics" -- "chinese"
"linguistics" -- "semiotics"
"linguistics" -- "translation"
"linguistics" -- "language documentation"
"linguistics" -- "native american languages"
"linguistics" -- "slavic languages"
"linguistics" -- "arabic"
"heat exchangers" -- "heat transfer"
"intergenerational relations" -- "family"
"capital markets" -- "financial accounting"
"human genomics" -- "population genetics"
"network theory" -- "complex systems"
"vascular neurosurgery" -- "neurosurgery"
"formulaic language" -- "discourse markers"
"disease" -- "aquatic animal health"
"disease" -- "retinal development"
"disease" -- "cardiovascular development"
"disease" -- "developmental origins of health"
"macroeconomics" -- "monetary theory"
"macroeconomics" -- "fiscal policy"
"macroeconomics" -- "labor economics"
"macroeconomics" -- "business cycles"
"fisheries biology" -- "marine biology"
"bim" -- "realidad aumentada"
"molecular taxonomy" -- "zoology"
"environmental geochemistry" -- "hydrogeochemistry"
"english education" -- "teacher education"
"english education" -- "critical literacy"
"green marketing" -- "consumer behavior"
"vision" -- "myopia"
"vision" -- "visual fields"
"vision" -- "motion"
"vision" -- "natural scenes"
"antitrust law" -- "patent law"
"procedural justice" -- "policing"
"pedagogía hospitalaria" -- "educación inclusiva"
"separation" -- "gas storage"
"separation" -- "purification"
"separation" -- "membranes"
"systematics" -- "lepidoptera"
"location-based services" -- "privacy"
"nonprofits" -- "social enterprise"
"cloud systems" -- "iot"
"stylistics" -- "discourse analysis"
"surgical oncology" -- "general surgery"
"li-ion" -- "energy storage"
"economic sanctions" -- "international relations"
"virtual heritage" -- "virtual reality"
"fault tolerance" -- "vlsi testing"
"fault tolerance" -- "distributed systems"
"social commerce" -- "e-commerce"
"topological insulators" -- "high temperature superconductors"
"topological insulators" -- "superconductors"
"development policy" -- "africa"
"memory" -- "eyewitness testimony"
"memory" -- "adult neurogenesis"
"memory" -- "mind wandering"
"memory" -- "behavioral neuroscience"
"memory" -- "associative learning"
"memory" -- "acetylcholine"
"memory" -- "spatial navigation"
"memory" -- "autobiographical memory"
"memory" -- "recognition memory"
"memory" -- "text comprehension"
