"teacher professional development" -- "mathematics education"
"body image" -- "eating disorders"
"dynamical systems" -- "differential equations"
"dynamical systems" -- "mathematical biology"
"dynamical systems" -- "control"
"dynamical systems" -- "ergodic theory"
"transplantation" -- "immunology"
"transplantation" -- "nephrology"
"galaxy evolution" -- "astrophysics"
"evo-devo" -- "developmental biology"
"carbohydrate chemistry" -- "organic chemistry"
"ambient intelligence" -- "artificial intelligence"
"virtual reality" -- "virtual environments"
"human mobility" -- "urban computing"
"human mobility" -- "complex networks"
"sex differences" -- "stress"
"analysis of algorithms" -- "design"
"occupational health" -- "safety"
"indoor air quality" -- "exposure assessment"
"arthritis" -- "inflammation"
"engineering geology" -- "rock mechanics"
"data management" -- "data curation"
"patient safety" -- "quality"
"patient safety" -- "quality improvement"
"patient safety" -- "human factors engineering"
"organizations" -- "economic sociology"
"organizations" -- "work"
"early childhood education" -- "child development"
"leadership" -- "group dynamics"
"leadership" -- "organizational change"
"leadership" -- "change management"
"leadership" -- "management"
"leadership" -- "emotional intelligence"
"mammals" -- "conservation biology"
"relativity" -- "cosmology"
"gwas" -- "bioinformatics"
"control theory" -- "applications"
"control theory" -- "hybrid systems"
"control theory" -- "robotics"
"ultrasound" -- "photoacoustics"
"optical wireless communications" -- "visible light communications"
"renewables" -- "energy"
"child" -- "adolescent development"
"concurrency" -- "programming languages"
"climate change" -- "tropical cyclones"
"climate change" -- "climate variability"
"climate change" -- "permafrost"
"climate change" -- "wildfire"
"climate change" -- "air pollution"
"climate change" -- "sustainable development"
"climate change" -- "land use change"
"climate change" -- "climate modeling"
"climate change" -- "climate dynamics"
"climate change" -- "earth system science"
"climate change" -- "greenhouse gases"
"climate change" -- "forest ecology"
"climate change" -- "ecology"
"climate change" -- "coral reefs"
"climate change" -- "biogeochemical cycles"
"climate change" -- "drought"
"communication" -- "social change"
"communication" -- "signal processing"
"communication" -- "mass media"
"communication" -- "risk perception"
"communication" -- "information"
"communication" -- "media"
"performance studies" -- "theatre"
"wind turbines" -- "aerodynamics"
"industrial automation" -- "robotics"
"multiphase flow" -- "lattice boltzmann method"
"multiphase flow" -- "flow assurance"
"multiphase flow" -- "computational fluid dynamics"
"translation" -- "terminology"
"translation" -- "interpreting"
"economics of education" -- "labour economics"
"economics of education" -- "labor economics"
"earthquakes" -- "geophysics"
"digital forensics" -- "information security"
"computational statistics" -- "machine learning"
"eeg" -- "fmri"
"eeg" -- "erp"
"evolutionary anthropology" -- "human behavioral ecology"
"medical genetics" -- "genomics"
"organic geochemistry" -- "biogeochemistry"
"traffic safety" -- "transportation engineering"
"wireless security" -- "wireless networks"
"information management" -- "knowledge management"
"political economy" -- "cultural economics"
"political economy" -- "comparative politics"
"political economy" -- "economic development"
"political economy" -- "public choice"
"political economy" -- "neoliberalism"
"political economy" -- "institutions"
"political economy" -- "corruption"
"construction engineering" -- "management"
"nanotoxicology" -- "nanomedicine"
"audio" -- "acoustics"
"open access" -- "open science"
"open access" -- "library"
"open access" -- "copyright"
"open access" -- "scholarly communication"
"organisation" -- "management"
"ethics" -- "applied ethics"
"astronomy" -- "astrophysics"
"astronomy" -- "exoplanets"
"geotechnical earthquake engineering" -- "soil-structure interaction"
"masonry" -- "concrete"
"inorganic synthesis" -- "electrochemistry"
"mercury" -- "biogeochemistry"
"memory systems" -- "computer architecture"
"behaviour" -- "ecology"
"victorian literature" -- "culture"
"innovation policy" -- "science"
"language technology" -- "natural language processing"
"exoplanets" -- "planetary atmospheres"
"language policy" -- "sociolinguistics"
"online communities" -- "social media"
"integrated optics" -- "silicon photonics"
"disease" -- "genomics"
"fluid dynamics" -- "turbulence"
"general surgery" -- "pediatric surgery"
"biosensors" -- "nanobiotechnology"
"biosensors" -- "bioelectronics"
"biosensors" -- "electrochemical sensors"
"biosensors" -- "bionanotechnology"
"kinetic theory" -- "partial differential equations"
"complex networks" -- "complex systems"
"genetic engineering" -- "molecular biology"
"approximation algorithms" -- "combinatorial optimization"
"entomology" -- "integrated pest management"
"entomology" -- "nematology"
"entomology" -- "chemical ecology"
"entomology" -- "ecology"
"entomology" -- "vector biology"
"bilingual education" -- "education"
"invasion ecology" -- "conservation biology"
"science" -- "technology"
"conceptual modeling" -- "ontologies"
"longevity" -- "aging"
"youth" -- "children"
"youth" -- "gender"
"mathematical biology" -- "mathematical ecology"
"market microstructure" -- "asset pricing"
"market microstructure" -- "market efficiency"
"markov chain monte carlo" -- "bayesian inference"
"mineral processing" -- "hydrometallurgy"
"rock physics" -- "geophysics"
"cosmic rays" -- "astrophysics"
"vehicular networks" -- "wireless networks"
"fault tolerant control" -- "fault diagnosis"
"neuroendocrinology" -- "reproductive endocrinology"
"machine intelligence" -- "computer vision"
"interaction design" -- "human-computer interaction"
"interaction design" -- "design research"
"interaction design" -- "participatory design"
"interaction design" -- "industrial design"
"psychopathy" -- "forensic psychology"
"power" -- "energy"
"detection" -- "estimation"
"vocabulary" -- "second language acquisition"
"emergency management" -- "social media"
"food policy" -- "agricultural economics"
"ecotoxicology" -- "ecology"
"work" -- "organizational psychology"
"work" -- "gender"
"bioprocessing" -- "biofuels"
"china" -- "asia"
"technology adoption" -- "information systems"
"radiology" -- "neuroradiology"
"radiology" -- "interventional radiology"
"radiology" -- "mri"
"forest management" -- "forest ecology"
"cytoskeleton" -- "cell biology"
"nationalism" -- "ethnicity"
"microbiome" -- "bioinformatics"
"labor markets" -- "inequality"
"aging" -- "frailty"
"aging" -- "social relationships"
"aging" -- "cognitive function"
"aging" -- "telomeres"
"aging" -- "retirement"
"aging" -- "disability"
"aging" -- "senescence"
"mathematical modeling" -- "infectious disease epidemiology"
"glaucoma" -- "ophthalmology"
"computational intelligence" -- "machine learning"
"british politics" -- "political parties"
"plant" -- "ecology"
"corals" -- "ecology"
"nanocomposites" -- "polymers"
"nanocomposites" -- "polymer composites"
"molecular neuroscience" -- "cellular"
"biodiversity" -- "dna barcoding"
"biodiversity" -- "ecology"
"biodiversity" -- "ecosystem functioning"
"marine robotics" -- "robotics"
"nanomaterials" -- "lithium batteries"
"nanomaterials" -- "energy conversion"
"nanomaterials" -- "electrochemistry"
"nanomaterials" -- "photocatalysis"
"nanomaterials" -- "photocatalyst"
"nanomaterials" -- "mesoporous materials"
"astronomical instrumentation" -- "astrophysics"
"sexual selection" -- "evolution"
"transfer learning" -- "machine learning"
"microfabrication" -- "mems"
"citizen science" -- "conservation biology"
"wildlife management" -- "conservation biology"
"temperament" -- "parenting"
"frp" -- "concrete"
"telemedicine" -- "telehealth"
"telemedicine" -- "ehealth"
"sers" -- "raman"
"plastic surgery" -- "tissue engineering"
"turbulent combustion" -- "computational fluid dynamics"
"bioremediation" -- "phytoremediation"
"cam" -- "cad"
"automated reasoning" -- "artificial intelligence"
"photoelectrochemistry" -- "electrochemistry"
"membranes" -- "separation"
"membranes" -- "polymers"
"international criminal law" -- "international law"
"isotopes" -- "geochemistry"
"mineralogy" -- "geochemistry"
"functional analysis" -- "operator algebras"
"function" -- "protein structure"
"speech synthesis" -- "speech processing"
"proteins" -- "peptides"
"autism" -- "adhd"
"autism" -- "sensory processing"
"autism" -- "applied behavior analysis"
"autism" -- "behavior analysis"
"autism" -- "developmental disabilities"
"molecular simulation" -- "statistical mechanics"
"molecular simulation" -- "nucleation"
"language development" -- "gesture"
"coevolution" -- "evolution"
"computer-mediated communication" -- "social media"
"reproductive biology" -- "developmental biology"
"reproductive biology" -- "andrology"
"object recognition" -- "computer vision"
"structural optimization" -- "topology optimization"
"estimation" -- "control"
"alzheimer s disease" -- "neurodegenerative disorders"
"molecular imaging" -- "cancer imaging"
"molecular imaging" -- "nuclear medicine"
"molecular imaging" -- "contrast agents"
"molecular imaging" -- "nanomedicine"
"cognitive linguistics" -- "corpus linguistics"
"adaptive optics" -- "optics"
"acoustic metamaterials" -- "phononic crystals"
"ofdm" -- "wireless communications"
"public management" -- "public administration"
"social policy" -- "poverty"
"computer engineering" -- "electrical"
"computer engineering" -- "computer architecture"
"tribology" -- "friction"
"tribology" -- "contact mechanics"
"tribology" -- "coatings"
"tribology" -- "lubrication"
"tribology" -- "wear"
"sports economics" -- "industrial organization"
"environmental communication" -- "health communication"
"islam" -- "gender"
"organizational theory" -- "economic sociology"
"iot" -- "cloud computing"
"critical care medicine" -- "pulmonary"
"health communication" -- "interpersonal communication"
"health communication" -- "organizational communication"
"health communication" -- "persuasion"
"policing" -- "criminology"
"self-organization" -- "complexity"
"longitudinal data analysis" -- "survival analysis"
"concrete structures" -- "structural engineering"
"non-coding rnas" -- "epigenetics"
"crisis communication" -- "public relations"
"quantum optics" -- "optomechanics"
"quantum optics" -- "many-body physics"
"quantum optics" -- "quantum information science"
"quantum optics" -- "ultracold atoms"
"quantum optics" -- "entanglement"
"deep brain stimulation" -- "parkinson s disease"
"cloud computing" -- "virtualization"
"cloud computing" -- "hpc"
"cloud computing" -- "mobile cloud computing"
"cloud computing" -- "soa"
"cloud computing" -- "distributed systems"
"cloud computing" -- "scientific workflows"
"cloud computing" -- "grid"
"cloud computing" -- "green computing"
"cloud computing" -- "autonomic computing"
"cloud computing" -- "grid computing"
"cloud computing" -- "mapreduce"
"cloud computing" -- "peer-to-peer networks"
"cloud computing" -- "distributed computing"
"cloud computing" -- "sdn"
"pharmacokinetics" -- "drug metabolism"
"pharmacokinetics" -- "clinical pharmacology"
"lakes" -- "limnology"
"productivity" -- "efficiency"
"productivity" -- "innovation"
"women" -- "gender"
"methods" -- "sociology"
"psychometrics" -- "quantitative psychology"
"psychometrics" -- "item response theory"
"psychometrics" -- "structural equation modeling"
"real estate finance" -- "corporate finance"
"pollination" -- "ecology"
"condensed matter" -- "physics"
"brain computer interface" -- "machine learning"
"expert systems" -- "artificial intelligence"
"earth" -- "planetary science"
"water management" -- "irrigation"
"soil-structure interaction" -- "earthquake engineering"
"corporate governance" -- "corporate social responsibility"
"corporate governance" -- "mergers"
"corporate governance" -- "corporate law"
"corporate governance" -- "corporate finance"
"corporate governance" -- "auditing"
"corporate governance" -- "executive compensation"
"porous materials" -- "catalysis"
"behavioral economics" -- "experimental"
"behavioral economics" -- "field experiments"
"operations management" -- "lean"
"cosmochemistry" -- "geochemistry"
"medicine" -- "biology"
"carcinogenesis" -- "toxicology"
"dermatology" -- "immunology"
"cognitive radio" -- "wireless communications"
"operations research" -- "metaheuristics"
"operations research" -- "discrete optimization"
"operations research" -- "management science"
"operations research" -- "combinatorial optimization"
"operations research" -- "data envelopment analysis"
"operations research" -- "decision analysis"
"operations research" -- "heuristics"
"operations research" -- "vehicle routing"
"operations research" -- "industrial engineering"
"operations research" -- "medical decision making"
"dialogue" -- "natural language processing"
"transportation safety" -- "transportation engineering"
"social" -- "cultural anthropology"
"qsar" -- "chemometrics"
"molecular biology" -- "cancer research"
"molecular biology" -- "plant physiology"
"molecular biology" -- "insect physiology"
"molecular biology" -- "rnai"
"molecular biology" -- "plant science"
"molecular biology" -- "biochemistry"
"molecular biology" -- "cellular"
"fiscal policy" -- "macroeconomics"
"feminism" -- "gender"
"pensions" -- "retirement"
"healthcare" -- "machine learning"
"reading" -- "literacy"
"gravitational waves" -- "astrophysics"
"gravitational waves" -- "numerical relativity"
"radiation physics" -- "radiation biology"
"optical communications" -- "optical networks"
"optical communications" -- "microwave photonics"
"structural reliability" -- "earthquake engineering"
"art history" -- "visual culture"
"art history" -- "history"
"molecular epidemiology" -- "infectious diseases"
"surface science" -- "catalysis"
"surface science" -- "scanning tunneling microscopy"
"sexuality" -- "gender"
"sexuality" -- "reproductive health"
"molecular microbiology" -- "bioinformatics"
"species interactions" -- "community ecology"
"conjugated polymers" -- "organic electronics"
"health management" -- "prognostics"
"turbulent flows" -- "computational fluid dynamics"
"mechanotransduction" -- "tissue engineering"
"philosophy of religion" -- "epistemology"
"cyberbullying" -- "bullying"
"co2 reduction" -- "catalysis"
"paleolimnology" -- "paleoecology"
"mass communication" -- "journalism"
"hydrogen storage" -- "catalysis"
"bioinformatics" -- "molecular evolution"
"bioinformatics" -- "genome evolution"
"bioinformatics" -- "machine learning"
"bioinformatics" -- "statistical genomics"
"bioinformatics" -- "proteomics"
"bioinformatics" -- "functional genomics"
"bioinformatics" -- "computational immunology"
"bioinformatics" -- "evolutionary genomics"
"bioinformatics" -- "next generation sequencing"
"bioinformatics" -- "computational systems biology"
"bioinformatics" -- "microarray"
"bioinformatics" -- "metagenomics"
"bioinformatics" -- "cheminformatics"
"bioinformatics" -- "protein structure"
"bioinformatics" -- "plant genomics"
"bioinformatics" -- "protein structure prediction"
"bioinformatics" -- "rna"
"bioinformatics" -- "comparative genomics"
"bioinformatics" -- "protein-protein interactions"
"bioinformatics" -- "genomics"
"bioinformatics" -- "ngs"
"bioinformatics" -- "rna-seq"
"bioinformatics" -- "translational medicine"
"bioinformatics" -- "chemoinformatics"
"organic chemistry" -- "synthesis"
"organic chemistry" -- "polymer chemistry"
"organic chemistry" -- "medicinal chemistry"
"organic chemistry" -- "catalysis"
"organic chemistry" -- "supramolecular chemistry"
"organic chemistry" -- "flow chemistry"
"fuzzy sets" -- "systems"
"user experience" -- "human-computer interaction"
"user experience" -- "usability"
"hvac" -- "energy"
"reaction engineering" -- "catalysis"
"building materials" -- "concrete"
"malaria" -- "mosquitoes"
"topic modeling" -- "machine learning"
"infectious diseases" -- "immunology"
"infectious diseases" -- "tuberculosis"
"molecular beam epitaxy" -- "semiconductors"
"radar" -- "signal processing"
"environmental toxicology" -- "environmental chemistry"
"geochemistry" -- "experimental petrology"
"geochemistry" -- "petrology"
"geochemistry" -- "geobiology"
"geochemistry" -- "geology"
"geochemistry" -- "volcanology"
"geochemistry" -- "diagenesis"
"geochemistry" -- "paleoclimate"
"geochemistry" -- "environmental geochemistry"
"geochemistry" -- "ore deposits"
"magnetic resonance imaging" -- "image reconstruction"
"international" -- "comparative politics"
"civil" -- "environmental engineering"
"cognitive control" -- "attention"
"cognitive control" -- "prefrontal cortex"
"sport management" -- "sport marketing"
"social-ecological systems" -- "resilience"
"forest pathology" -- "mycology"
"social theory" -- "sociology of knowledge"
"social theory" -- "sociology"
"mining" -- "rock mechanics"
"space science" -- "astrophysics"
"bioprocess engineering" -- "metabolic engineering"
"perception" -- "attention"
"perception" -- "action"
"nuclear medicine" -- "positron emission tomography"
"polymers" -- "fiber"
"polymers" -- "biomaterials"
"polymers" -- "rheology"
"polymers" -- "adhesion"
"crowdsourcing" -- "machine learning"
"environmental economics" -- "ecological economics"
"environmental economics" -- "energy economics"
"environmental economics" -- "resource economics"
"environmental economics" -- "agricultural economics"
"environmental economics" -- "natural resource economics"
"urban" -- "environmental planning"
"stochastic control" -- "mathematical finance"
"urologic oncology" -- "urology"
"philosophy of science" -- "philosophy of technology"
"philosophy of science" -- "philosophy of social science"
"philosophy of science" -- "metaphysics"
"philosophy of science" -- "philosophy of physics"
"ptsd" -- "trauma"
"ptsd" -- "military"
"postcolonial studies" -- "cultural studies"
"construction management" -- "project management"
"construction management" -- "building information modeling"
"construction management" -- "bim"
"photosynthesis" -- "electron transfer"
"photosynthesis" -- "plant physiology"
"photosynthesis" -- "cyanobacteria"
"geography" -- "gis"
"climate" -- "weather"
"climate" -- "ocean"
"climate" -- "atmospheric dynamics"
"climate" -- "glaciers"
"climate" -- "precipitation"
"climate" -- "sea level"
"evolutionary algorithms" -- "artificial intelligence"
"machine translation" -- "natural language processing"
"behavior" -- "evolution"
"wireless networks" -- "sensor networks"
"wireless networks" -- "computer networks"
"wireless networks" -- "mobile computing"
"wireless networks" -- "network economics"
"wireless networks" -- "cognitive radio networks"
"radiation" -- "aerosols"
"business cycles" -- "macroeconomics"
"speech signal processing" -- "machine learning"
"gnss" -- "navigation"
"gnss" -- "gps"
"materials chemistry" -- "hybrid materials"
"smes" -- "entrepreneurship"
"type 2 diabetes" -- "obesity"
"wave propagation" -- "structural health monitoring"
"wastewater" -- "water"
"hardware security" -- "computer architecture"
"public space" -- "urban design"
"eye movements" -- "visual attention"
"eye movements" -- "attention"
"soft robotics" -- "robotics"
"machining" -- "manufacturing"
"class" -- "gender"
"pregnancy" -- "placenta"
"pregnancy" -- "obesity"
"r d" -- "innovation"
"multiferroics" -- "ferroelectrics"
"birds" -- "ecology"
"auditing" -- "financial accounting"
"auditing" -- "accounting"
"employment relations" -- "human resource management"
"ancient philosophy" -- "metaphysics"
"drives" -- "electrical machines"
"mucosal immunology" -- "immunology"
"bioenergetics" -- "mitochondria"
"personalized medicine" -- "genomics"
"earth history" -- "geology"
"tomography" -- "inverse problems"
"hydrogeophysics" -- "hydrogeology"
"hydrogeophysics" -- "applied geophysics"
"theoretical biology" -- "evolution"
"cartilage" -- "tissue engineering"
"surveying" -- "geodesy"
"soil chemistry" -- "soil science"
"pain" -- "anesthesia"
"tissue engineering" -- "stem cell research"
"tissue engineering" -- "regenerative medicine"
"tissue engineering" -- "bioreactors"
"tissue engineering" -- "cell therapy"
"tissue engineering" -- "scaffold"
"tissue engineering" -- "wound healing"
"tissue engineering" -- "mesenchymal stem cells"
"tissue engineering" -- "3d printing"
"tissue engineering" -- "stem cell therapy"
"tissue engineering" -- "organ-on-a-chip"
"tissue engineering" -- "regenerative"
"tissue engineering" -- "biomaterials"
"representation" -- "american politics"
"polyploidy" -- "genomics"
"logic" -- "artificial intelligence"
"logic" -- "philosophy of mathematics"
"logic" -- "category theory"
"logic" -- "automata theory"
"neutron stars" -- "astrophysics"
"epistemology" -- "metaphysics"
"coding" -- "information theory"
"computational imaging" -- "computer vision"
"marketing research" -- "marketing"
"sanitation" -- "water"
"social networks" -- "social capital"
"autonomous robotics" -- "computer vision"
"phase transitions" -- "statistical mechanics"
"residual stress" -- "welding"
"analysis" -- "algorithm design"
"analysis" -- "partial differential equations"
"analysis" -- "pde"
"distributed" -- "parallel computing"
"clinical epidemiology" -- "biostatistics"
"aquaculture" -- "fisheries"
"aquaculture" -- "fish physiology"
"aquaculture" -- "fish biology"
"two-dimensional materials" -- "graphene"
"biomedical" -- "signal processing"
"lasers" -- "optics"
"lasers" -- "accelerators"
"political participation" -- "social media"
"ants" -- "ecology"
"theatre" -- "drama"
"risk" -- "resilience"
"risk" -- "uncertainty"
"cellular networks" -- "wireless communications"
"dielectrics" -- "ferroelectrics"
"geodynamics" -- "geophysics"
"nutrients" -- "biogeochemistry"
"biomedical signal processing" -- "heart rate variability"
"biomedical signal processing" -- "machine learning"
"nitrogen fixation" -- "symbiosis"
"business models" -- "innovation"
"school psychology" -- "assessment"
"non-destructive testing" -- "structural health monitoring"
"mechanical engineering" -- "aerospace engineering"
"human-computer interaction" -- "accessibility"
"human-computer interaction" -- "serious games"
"human-computer interaction" -- "mobile devices"
"human-computer interaction" -- "computer music"
"human-computer interaction" -- "eye tracking"
"human-computer interaction" -- "assistive technology"
"human-computer interaction" -- "artificial intelligence"
"human-computer interaction" -- "urban informatics"
"human-computer interaction" -- "multimodal interaction"
"biological invasions" -- "conservation biology"
"mycology" -- "plant pathology"
"communication systems" -- "signal processing"
"mapping" -- "gis"
"labor economics" -- "applied econometrics"
"labor economics" -- "family economics"
"labor economics" -- "personnel economics"
"labor economics" -- "health economics"
"labor economics" -- "public economics"
"labor economics" -- "macroeconomics"
"adolescence" -- "prevention"
"adolescence" -- "children"
"racism" -- "race"
"bullying" -- "aggression"
"housing" -- "homelessness"
"housing" -- "community development"
"housing" -- "gentrification"
"computer systems" -- "computer architecture"
"knowledge" -- "innovation"
"buildings" -- "energy"
"oil" -- "gas"
"fibrosis" -- "inflammation"
"academic writing" -- "corpus linguistics"
"vaccine development" -- "immunology"
"obesity" -- "feeding"
"obesity" -- "eating disorders"
"obesity" -- "bariatric surgery"
"obesity" -- "diabetes"
"obesity" -- "nutrigenomics"
"obesity" -- "physical activity"
"nonlinear control" -- "robotics"
"nonlinear control" -- "adaptive control"
"ceramics" -- "glass"
"palaeontology" -- "evolution"
"inverse problems" -- "image processing"
"t cells" -- "immunology"
"atmospheric chemistry" -- "air quality"
"atmospheric chemistry" -- "aerosols"
"atmospheric chemistry" -- "air pollution"
"digital libraries" -- "metadata"
"digital libraries" -- "information retrieval"
"digital libraries" -- "digital preservation"
"x-ray" -- "neutron scattering"
"guidance" -- "control"
"new product development" -- "innovation"
"hypertension" -- "diabetes"
"hypertension" -- "chronic kidney disease"
"calcium signaling" -- "ion channels"
"botany" -- "ecology"
"botany" -- "ethnobotany"
"sociology of religion" -- "religion"
"logic programming" -- "artificial intelligence"
"artificial life" -- "artificial intelligence"
"signal integrity" -- "electromagnetic compatibility"
"3d reconstruction" -- "computer vision"
"manufacturing" -- "design"
"connectivity" -- "fmri"
"coordination chemistry" -- "molecular magnetism"
"community ecology" -- "population"
"community ecology" -- "ecological networks"
"community ecology" -- "conservation biology"
"community ecology" -- "theoretical ecology"
"flow cytometry" -- "immunology"
"environmental management" -- "sustainability"
"emotion regulation" -- "mindfulness"
"emotion regulation" -- "borderline personality disorder"
"transportation planning" -- "travel behavior"
"transportation planning" -- "traffic engineering"
"protein engineering" -- "antibody engineering"
"protein engineering" -- "synthetic biology"
"protein engineering" -- "directed evolution"
"transnationalism" -- "migration"
"organic photovoltaics" -- "organic electronics"
"electrocatalysis" -- "electrochemistry"
"durability" -- "concrete"
"ethnic studies" -- "race"
"history of technology" -- "history of science"
"interferometry" -- "optics"
"natural language processing" -- "information extraction"
"natural language processing" -- "question answering"
"natural language processing" -- "lexical semantics"
"natural language processing" -- "computational linguistics"
"natural language processing" -- "natural language generation"
"natural language processing" -- "machine learning"
"vulnerability" -- "resilience"
"friction stir welding" -- "processing"
"crystallization" -- "nucleation"
"artifical intelligence" -- "machine learning"
"video games" -- "artificial intelligence"
"agroecology" -- "ecology"
"lca" -- "energy"
"synthetic biology" -- "metabolic engineering"
"marketing strategy" -- "innovation"
"computational fluid dynamics" -- "turbulence modeling"
"computational fluid dynamics" -- "fluid-structure interaction"
"computational fluid dynamics" -- "turbulence"
"computational fluid dynamics" -- "hemodynamics"
"writing" -- "literacy"
"probability" -- "stochastic processes"
"nuclear physics" -- "nuclear theory"
"nuclear physics" -- "particles"
"nuclear physics" -- "hadron physics"
"plant-insect interactions" -- "chemical ecology"
"social science" -- "economics"
"social science" -- "human"
"approximate computing" -- "computer architecture"
"artificial neural networks" -- "artificial intelligence"
"chemistry education" -- "science education"
"real estate" -- "urban economics"
"biostratigraphy" -- "micropaleontology"
"wireless communications" -- "mimo"
"wireless communications" -- "visible light communications"
"wireless communications" -- "massive mimo"
"wireless communications" -- "satellite communications"
"wireless communications" -- "signal processing"
"wireless communications" -- "information theory"
"bioengineering" -- "biomaterials"
"musculoskeletal" -- "orthopaedics"
"augmentative" -- "alternative communication"
"carbon" -- "biogeochemistry"
"environment" -- "energy"
"algebraic topology" -- "geometric topology"
"spatial analysis" -- "gis"
"semiconductors" -- "mocvd"
"semiconductors" -- "epitaxy"
"semiconductors" -- "device physics"
"fashion" -- "marketing"
"physics" -- "optics"
"physics" -- "condensed matter theory"
"physics" -- "astrophysics"
"systems engineering" -- "engineering design"
"parenting" -- "child development"
"parenting" -- "attachment"
"electronic materials" -- "devices"
"inequality" -- "stratification"
"inequality" -- "gender"
"inequality" -- "social mobility"
"inequality" -- "poverty"
"information fusion" -- "machine learning"
"food technology" -- "food science"
"plant physiology" -- "horticulture"
"insulin resistance" -- "diabetes"
"organic electronics" -- "oled"
"organic electronics" -- "solar cells"
"organic electronics" -- "organic solar cells"
"restoration ecology" -- "conservation biology"
"restoration ecology" -- "wetland ecology"
"family business" -- "entrepreneurship"
"sig" -- "gis"
"scattering" -- "electromagnetics"
"comparative effectiveness" -- "health economics"
"composite structures" -- "steel"
"hydrogen" -- "fuel cells"
"management" -- "higher education policy"
"management" -- "organizational behavior"
"management" -- "organization studies"
"management" -- "marketing"
"implementation science" -- "dissemination"
"free will" -- "philosophy of mind"
"free will" -- "open source software"
"computer vision" -- "graphics"
"computer vision" -- "intelligent vehicles"
"computer vision" -- "field robotics"
"computer vision" -- "machine learning"
"computer vision" -- "object detection"
"computer vision" -- "video surveillance"
"computer vision" -- "mobile robotics"
"computer vision" -- "robotics"
"computer vision" -- "3d"
"computer vision" -- "image processing"
"computer vision" -- "variational methods"
"computer vision" -- "multimedia systems"
"computer vision" -- "3d imaging"
"computer vision" -- "tracking"
"computer vision" -- "image analysis"
"computer vision" -- "biomedical image analysis"
"computer vision" -- "video analysis"
"numerical modeling" -- "rock mechanics"
"accounting" -- "transparency"
"accounting" -- "tax"
"accounting" -- "taxation"
"anomaly detection" -- "machine learning"
"wearables" -- "sensors"
"co2 sequestration" -- "geomechanics"
"turbulence" -- "large eddy simulation"
"turbulence" -- "environmental fluid mechanics"
"led" -- "solar cells"
"dimensionality reduction" -- "machine learning"
"population ecology" -- "conservation biology"
"population ecology" -- "statistical ecology"
"chinese politics" -- "comparative politics"
"medical image analysis" -- "machine learning"
"optics" -- "microscopy"
"optics" -- "polarization"
"optics" -- "optical tweezers"
"optics" -- "light scattering"
"optics" -- "holography"
"optics" -- "displays"
"optics" -- "biophotonics"
"solar" -- "renewable energy"
"ferroelectrics" -- "piezoelectric"
"mesoscopic physics" -- "condensed matter physics"
"oceanography" -- "phytoplankton"
"oceanography" -- "biogeochemistry"
"oceanography" -- "marine science"
"oceanography" -- "marine biogeochemistry"
"systematic reviews" -- "knowledge translation"
"systematic reviews" -- "meta-analysis"
"systematic reviews" -- "evidence synthesis"
"medicinal chemistry" -- "synthetic chemistry"
"medicinal chemistry" -- "synthetic organic chemistry"
"medicinal chemistry" -- "pharmaceutical chemistry"
"medicinal chemistry" -- "total synthesis"
"medicinal chemistry" -- "chemical biology"
"plant biology" -- "arabidopsis"
"games" -- "artificial intelligence"
"uav" -- "robotics"
"image registration" -- "image segmentation"
"collective behavior" -- "complex systems"
"influenza" -- "virology"
"biological oceanography" -- "microbial ecology"
"natural language understanding" -- "artificial intelligence"
"modal analysis" -- "vibration"
"radio astronomy" -- "astrophysics"
"translational research" -- "immunology"
"aphasia" -- "language"
"philosophy of psychology" -- "philosophy of mind"
"health policy" -- "health economics"
"health policy" -- "health systems"
"human development" -- "psychology"
"geomatics" -- "photogrammetry"
"psychophysics" -- "vision"
"financial institutions" -- "corporate finance"
"social insects" -- "ecology"
"innovation" -- "design"
"innovation" -- "evolutionary economics"
"innovation" -- "technology"
"innovation" -- "intellectual property"
"innovation" -- "creativity"
"innovation" -- "technological change"
"innovation" -- "collaboration"
"innovation" -- "alliances"
"innovation" -- "knowledge management"
"innovation" -- "knowledge transfer"
"innovation" -- "entrepreneurship"
"microtubules" -- "cell biology"
"cloud physics" -- "aerosols"
"flexible electronics" -- "thin film transistors"
"flexible electronics" -- "stretchable electronics"
"flexible electronics" -- "sensors"
"health economics" -- "health technology assessment"
"health economics" -- "outcomes research"
"health economics" -- "pharmacoeconomics"
"middleware" -- "distributed systems"
"integration" -- "migration"
"arrhythmia" -- "atrial fibrillation"
"derivatives" -- "credit risk"
"derivatives" -- "risk management"
"financial markets" -- "corporate finance"
"automatic speech recognition" -- "machine learning"
"domestication" -- "genomics"
"folklore" -- "anthropology"
"als" -- "neurodegeneration"
"interconnection networks" -- "computer architecture"
"inflammation" -- "immunology"
"inflammation" -- "oxidative stress"
"biology" -- "ecology"
"learning analytics" -- "moocs"
"learning analytics" -- "learning technologies"
"biostatistics" -- "clinical trials"
"biostatistics" -- "causal inference"
"biostatistics" -- "meta-analysis"
"biostatistics" -- "clinical research"
"biostatistics" -- "survival analysis"
"exposure assessment" -- "air pollution"
"biomedicine" -- "machine learning"
"mhealth" -- "ehealth"
"soft computing" -- "artificial intelligence"
"inorganic" -- "organometallic chemistry"
"european law" -- "international law"
"virology" -- "immunology"
"peer-to-peer" -- "distributed systems"
"msica" -- "art"
"algebra" -- "combinatorics"
"ar" -- "vr"
"ar" -- "hci"
